word	C	count	sigma_nor
mort_médecin	146.20674163	233	10.3375293562
portail	67.4780539838	377	4.41477102639
santé	54.5243055729	3357	1.93826431148
né_médecin	37.6657063001	185	3.67888941667
sant	35.7273350394	75	4.8471242238
afp	33.8922031694	97	4.25107504185
action_groupe	32.9597650327	55	5.06012087737
dã	32.9579487782	241	3.06631905303
van_sant	32.5832479049	44	5.40773489204
école	31.9174609425	362	2.64515236546
homme_politique	31.2768406262	113	3.79728790873
français	30.9010444988	876	2.03407570141
ssa	30.8688539109	36	5.52787154048
santã	30.7359226076	234	2.95389746755
santé_publique	30.6072765793	481	2.37400636262
candidat	30.044912587	167	3.24074553065
italien	29.3702386835	73	4.19702693918
assurancemaladie	29.1791528644	143	3.3397398753
santé_travail	28.9614390515	132	3.41019341081
sénégal	28.761981375	83	3.9569526376
allemand	28.3659409062	151	3.21722096996
armer	27.9140307244	145	3.22341070245
barcelone	27.6394202299	53	4.45437105514
militaire	27.2997545924	182	2.95443704339
mardi	26.9541517659	102	3.52417764994
ivoire	26.4891932023	34	4.96826741781
marin	26.4529639395	71	3.91285618364
édition_abonné	26.3268716916	57	4.18866872523
paces	26.3227291699	68	3.9537888764
diabetes	26.0268130088	29	5.1449289965
médecine_travail	25.4708074495	81	3.64516290696
étudiant	25.0959911242	251	2.54169169728
formation	24.5507673885	398	2.20773528722
mã	24.4491975702	136	3.0049915414
certification	24.3793328634	65	3.78840682233
lesbien	24.3714780055	27	4.98345571619
médecin	24.3101317729	877	1.81269551865
film	23.940113467	145	2.9054172831
euro	23.7898900966	164	2.78752507787
cps	23.6006113647	40	4.30958756974
bière	23.5892934889	35	4.48917610243
cisss	23.2409770046	45	4.10551471518
démocrate	22.9933069588	51	3.91596550222
avril	22.7174103014	294	2.29318951281
décès	22.6239330592	233	2.43946468717
événement	22.529763501	168	2.67333856404
services_sociaux	22.2857820449	120	2.93527503238
travail	22.2224075292	570	1.91752131217
québécois	22.1528951748	53	3.76315189575
besançon	21.9448408315	42	4.01455948455
hôpital	21.8606701179	500	1.96213837409
référence	21.6576072046	203	2.47093645798
patient	21.5712958143	525	1.92704488233
lundi	21.5385335751	82	3.22180647324
bibliothèque	21.494826311	64	3.47236823435
église	21.3680073518	71	3.34892376874
service_santé	21.3099621853	135	2.75212957324
touraine	21.1729274411	125	2.8038085001
président	20.6839640227	296	2.1731528525
février	20.568975958	295	2.16850123556
mort_psychiatre	20.3578635683	47	3.66784642304
américain	20.348985049	276	2.19347506658
gus_sant	20.3100252935	23	4.50859147812
suisse	20.2671760703	146	2.60636368679
mutuel	20.0309866577	187	2.41369846102
naître	20.0236488275	200	2.36901934353
service	19.8506728725	624	1.78385118233
projet_loi	19.779083659	122	2.70321386131
août	19.5643632789	214	2.29525640643
soin	19.49507772	523	1.83910345036
vétérinaire	19.4655916191	99	2.84361420047
université	19.4146025957	237	2.22439201248
promotion_santé	19.3944526724	125	2.65129297136
code_santé	19.3839568238	71	3.12888837881
adepte	19.3099395305	38	3.75738932918
médical	19.2432780116	553	1.80599500894
républicain	18.8846281929	91	2.85734972369
bâtiment	18.6661531732	91	2.83567354315
marisol	18.6361527933	113	2.66143251664
côte	18.5495357966	47	3.42809380834
pnse	18.4993386341	37	3.66817584774
centre_hospitalier	18.4688618643	74	2.99092125761
aluminium	18.4566521829	21	4.28502017023
oms	18.3699324402	210	2.22667743766
prévention_risques	18.3315213769	44	3.46523701629
mali	18.3279793373	44	3.46475423938
santes	18.2943290998	25	4.06165785476
ehesp	18.2444803628	43	3.47652931589
trump	18.2014425625	86	2.83541514113
universitaire	18.1698818051	168	2.34780228618
aller	18.1679617121	336	1.96890376771
historien	18.1123996022	38	3.58399971073
professionnel	18.0231753498	414	1.86886536373
historique	17.9999133317	110	2.62408581971
vouloir	17.9757937625	221	2.17148784659
dakar	17.9603642951	51	3.27138365729
macsf	17.8564997705	20	4.22903096962
real	17.815139328	20	4.22138622014
jeudi	17.7820586258	70	2.96337206568
réalisateur	17.713420317	54	3.18653105372
ministère	17.5250774419	168	2.29965712376
belge	17.4840590872	59	3.07815262647
chirurgien	17.4071197196	113	2.55099518425
élève	17.3224267563	103	2.60985680093
sida	17.2531155546	93	2.67900907515
rã	17.2250137249	148	2.35511286704
rome	17.2033908353	24	3.9180397623
prise_charge	17.1963902445	178	2.24098604835
roi	17.1714140838	42	3.35124668705
établissement	17.1196860791	333	1.91669553541
entreprendre	16.9525570494	276	1.99336954129
britannique	16.9055175944	126	2.43258913072
maison_blanche	16.8423600999	28	3.69973396817
octobre	16.8090602428	269	1.99709963854
mars	16.7787225168	357	1.86869659271
mai	16.6876885891	251	2.02316028873
senegal	16.6815441569	19	4.06369646673
pouvoir	16.6769779474	835	1.57057669203
obama	16.6026923266	41	3.29447212913
ration	16.5555906572	27	3.68878867226
sécurité_travail	16.5430365266	48	3.14330999225
lire_aussi	16.5367027206	187	2.16569551268
prévention	16.5123611463	335	1.88146949916
prix_nobel	16.4949296168	55	3.01853337439
assurance	16.4254643623	200	2.12167000675
ciusss	16.3618312179	34	3.43473221045
etat	16.0410885737	75	2.71643129895
environnement	15.9591625096	285	1.92058484835
fondation	15.9513274462	157	2.22016102399
école_service	15.7854811011	34	3.34745842708
québec	15.7827051282	117	2.38287622666
mission	15.7759134595	257	1.9560938776
officier_santé	15.6355831637	18	3.9177566414
assurance_maladie	15.5255353314	229	1.99395979396
mourir	15.5209988833	207	2.04240658296
santé_armées	15.4985308923	58	2.85276584221
situer	15.3747334836	158	2.17223633471
pourquoi	15.2255264908	58	2.81968180195
lyon	15.1670438803	95	2.46005086521
csss	15.0472769809	17	3.85638472034
pharmacie	15.0290766732	136	2.22826246173
millions_euros	14.9576172782	128	2.25702379674
monastère	14.8717967397	22	3.59211630694
annoncer	14.8514675941	171	2.09095130809
international	14.7368891506	276	1.86283022504
russe	14.651083578	33	3.20091119524
master	14.5852400525	50	2.85436574515
asef	14.523792136	23	3.49120387664
zika	14.3926537067	24	3.43147946669
gens_mer	14.3870323015	23	3.46715753143
bactériologiste	14.3461949377	20	3.58021293549
css	14.3185576657	26	3.35031160541
cns	14.2824878709	17	3.70697135095
art	14.2682047619	118	2.24410699481
france	14.2602529576	791	1.50076196144
décembre	14.2118529841	284	1.82059914152
effet	14.2048120618	343	1.7491006671
système_santé	14.1981641584	265	1.84740370085
prã	14.1329448725	131	2.17448794123
rochefort	14.1224315815	22	3.45821767168
santé_mentale	14.0760484564	123	2.20408405478
septembre	14.0524484307	240	1.87920892012
compteur	14.0457102972	24	3.37142088413
portail_âge	14.007211925	49	2.79469888582
