word	C	count	sigma_nor
version	199.994430461	8141	3.21380536937
véhicule	191.29002236	13336	2.65508933968
rallye	170.184667005	2728	4.24810232144
moteur	169.921381854	11960	2.5523381957
voiture	154.878377173	15628	2.23799518368
championnat	148.772818144	2590	3.91362047654
course	141.414269529	4142	3.19236896667
automobile	135.080049044	11069	2.28264103812
modèle	125.247891161	8628	2.34672993875
pilote-automobile	119.128091239	432	6.64502776826
recharge	115.536565271	922	4.77454743297
victoire	114.760623136	1806	3.68813360343
cabriolet	109.96041762	1952	3.47817987931
rame	106.32614121	580	5.36262048349
berline	103.549221874	2844	2.93559484369
transport	102.107068238	2679	2.96621203382
portes	100.180652675	1572	3.5136715137
finition	96.2639133597	1296	3.65772449618
saison	90.7253584814	1448	3.37092248411
marque	90.3988699656	4365	2.36520782742
métallisé-verni	87.7325665259	94	9.56134809266
pilote	87.0615851657	2379	2.77835263358
remporter	85.190581039	1964	2.91393732794
gamme	84.5502718027	3717	2.38325013594
permis	84.5213747136	776	4.00556399747
production	83.2752196618	4428	2.24865365171
usine	81.8026446091	3216	2.43828552195
assurance	80.741089747	709	4.00140994292
rallyes	80.6342804166	897	3.66974967664
cid	79.9657228989	86	9.12216940816
bogie	79.8248997956	295	5.54936490902
min	78.7463434208	1630	2.9404865381
camion	78.3545962022	1512	3.00409485853
litre	77.7069411967	2121	2.68034076098
batterie	77.5018615909	1413	3.04989281497
break	76.9048624445	1414	3.03338176764
turbo	76.7000279583	1123	3.27281866252
automobile-d	76.4451692941	144	7.1266694177
infanterie	76.4173507724	245	5.76152119857
borne	74.3928166401	490	4.31392958611
coupé	73.9606488211	1465	2.92147899928
carrosserie	73.4796306176	2931	2.35293725222
électrique	72.7217013794	3012	2.32094282034
cylindres	72.4010205134	1065	3.2022987257
tunisien	71.4064086377	185	6.08584581672
station	71.074631616	864	3.39690800401
véhicules-électriques	69.3530743441	588	3.82567220848
train	68.9448368358	1438	2.80767790364
énergie	68.7374175138	1293	2.89959917957
série	68.2220826729	4111	2.06143474474
kilomètre	67.2262143281	4055	2.05310385099
panda	66.8242529703	133	6.55637789792
type	66.0601560854	4318	2.00294467205
cm³	65.2474810677	715	3.4150354116
heure	64.7313145176	4538	1.95873411007
service	63.5108340482	2342	2.30726698642
écurie	62.9236167375	830	3.1641998843
ligne	62.9002840662	3372	2.08006935292
carburateur	62.8693657844	516	3.73030237563
sport-automobile	62.7397329008	1047	2.92436299697
char	61.9786922425	572	3.5592903823
sapeurs-pompiers	60.9790611694	176	5.44558347815
bouddhisme	60.0149149182	73	7.55392956422
épreuve	59.9648270288	1146	2.75891091973
autopartage	59.5834791899	280	4.48085939321
tour	59.0782545596	1563	2.48618646879
lotus	58.8884464447	279	4.44611947788
jante	58.8610516044	993	2.85311440394
hydrogène	58.509723876	383	3.93779561726
mans	57.2120585813	520	3.47499758201
monde	55.7946339334	3079	2.00232860366
exemplaire	55.7837971197	2334	2.1500939513
japon	55.4476964956	870	2.86316410324
blinder	55.0255873344	348	3.8939982904
bus	54.8645432389	508	3.40055290101
mustang	54.790281328	188	4.8709129709
circuit	54.7180341529	1547	2.38346405157
litres	53.9372767259	641	3.10602001286
réseau	53.6751508854	1417	2.41737477307
spatial	53.6715576593	283	4.11892398647
groupe	53.2759669981	2690	2.02354728137
entreprise	53.1944881931	2283	2.10878198773
tourelle	52.9064917665	126	5.50849688454
produire	52.479390613	4216	1.80622785672
compartiment	52.3458484018	400	3.57305172122
familial	52.2982740101	996	2.64388258108
armée	50.6346854268	728	2.85718066291
disponible	49.4397326764	2147	2.06238541599
heures	49.24694039	825	2.69845532481
trike	49.0662346078	57	6.96516200519
ville	49.028797236	1945	2.10650801657
constructeur	48.6619375311	3326	1.84120974912
canon	48.1867716744	262	3.90531142307
épisode	47.8072592569	352	3.4999256211
monoplace	47.6714931414	484	3.13529274728
vitesse	47.21598788	3900	1.75402254243
saurer	47.1853596365	76	6.05742703299
essence	46.7639420199	1920	2.06215384453
arabe	46.5932089474	321	3.54740081538
dialecte	46.510126651	99	5.42588130228
système	46.4910096566	3036	1.84097357164
catégorie	46.4823428966	1953	2.04686392817
restylage	45.4637936618	348	3.39036148399
tracteur	45.4612268679	363	3.34187275531
displaystyle	45.277432134	189	4.18943553733
successeure	45.2639768931	72	5.96827128002
calandre	44.9847429953	786	2.58870924359
card	44.6124240147	1623	2.10129782532
vainqueur	44.5804396757	480	3.00473726056
citadin	44.5167719522	784	2.57413366085
vendre	44.3218288018	2542	1.8757113247
matériel	44.2138481409	631	2.73929773366
missile	43.5819844621	133	4.61991028426
joueur	43.5784972699	233	3.77865178902
injection	43.5148673722	659	2.67570175046
compact	43.3918374839	877	2.45194406695
tramway	43.3346557397	369	3.21446898753
années	43.3254961614	2961	1.79348863183
engin	42.9907098634	544	2.81851903331
combat-d	42.8061029416	59	6.12413427033
histoire-militaire	42.0760615359	107	4.86310765701
vélo	41.9043897368	347	3.20595107283
signalisation-routière	41.7652286151	53	6.23400922314
marché	41.7018214128	2469	1.8359253674
tonne	41.5998249022	716	2.53793831148
autobus	41.5870570815	408	3.02387253101
boîte	41.5357992912	1825	1.96736427364
