word	C	count	sigma_nor
rally	226.234261771	3648	4.73659174209
version	199.754732043	8145	3.21060996604
véhicul	198.096395214	13802	2.68483972015
moteur	169.737025811	11962	2.55052441153
voitur	158.013420665	16014	2.24775976924
championnat	148.781994731	2590	3.91380022983
cours	141.406207429	4203	3.17633673045
automobil	136.270925633	11284	2.28158373368
model	129.058071641	9138	2.34850059966
recharg	119.476157236	1224	4.39349588442
pilote-automobil	119.138371841	432	6.6455152259
victoir	114.780292738	1806	3.68859448317
cabriolet	109.935004333	1952	3.47760696211
transport	104.277750413	3175	2.84532422093
litr	104.099229444	2766	2.97297888908
berlin	103.877782094	2851	2.93936539544
finit	96.2680881183	1296	3.65783980612
ram	95.6339789826	617	4.80650236339
marqu	94.1491359597	5258	2.29591300356
saison	90.8067976966	1449	3.37224029899
remport	90.7660562886	2184	2.9345224181
métallisé-vern	87.7317924129	94	9.56127241182
cylindr	86.5933621526	2822	2.62482422321
trik	84.8083754057	97	9.15815131305
gamm	84.4896905627	3721	2.38151872913
électr	84.1170570463	3479	2.42224878034
perm	83.6447283789	778	3.9706055709
product	83.0272821533	4482	2.23744000107
pilot	80.8814296594	2814	2.51975550591
usin	80.6639353975	3265	2.40762596923
cid	79.9649362833	86	9.12208934151
bog	79.8151563129	295	5.54880899182
camion	78.4042370671	1513	3.00470834678
batter	77.5581195969	1414	3.0506630375
break	76.8935050192	1414	3.03308131822
turbo	76.6803848289	1123	3.27223624441
automobile-d	76.4483884142	144	7.12692784849
infanter	76.4323270705	245	5.7624555581
heur	75.970025876	5363	2.03537796426
born	75.0376975382	509	4.28114173354
carrosser	73.4347144956	2931	2.35210992533
tunisien	71.4328236536	185	6.08773018152
véhicules-électr	69.374385461	588	3.82654127599
station	69.1384254327	973	3.19890547238
coup	69.0866761716	2767	2.30897298609
ser	68.6379558155	4138	2.06443140284
kilometr	68.1043936242	4209	2.04724318374
énerg	67.8019738716	1300	2.86873285759
train	67.6836618189	1455	2.76429272096
pand	66.8458412297	133	6.55817655906
blind	66.8374675833	571	3.76249516824
typ	65.950598246	4676	1.96232942776
cm³	65.252533497	715	3.41522258174
min	64.1788399042	2284	2.3375836094
servic	63.55555685	2342	2.30818798321
fabriqu	63.442970331	3546	2.0624506927
lign	63.3288157012	3489	2.069126859
exemplair	63.010443022	2849	2.17658869419
écur	62.9148742395	830	3.16389894333
sport-automobil	62.7263851651	1047	2.9239532886
char	61.976338823	572	3.55919310299
hydrogen	61.8306020963	401	4.03626433859
sapeurs-pompi	60.9811623706	176	5.44573695497
japon	60.8708337592	1444	2.5925748196
épreuv	60.1811936728	1149	2.76298290668
bouddhism	60.0122218594	73	7.5536345591
autopartag	59.6185641326	280	4.48291219442
lotus	58.8749606932	279	4.44532907231
jant	58.8588530111	993	2.85304512956
tour	58.1828274834	1582	2.45490909582
mond	55.8165798265	3079	2.00272304453
port	54.8115975171	4743	1.79409037725
mustang	54.7804829618	188	4.87021930066
circuit	54.7232074164	1547	2.38359494145
entrepris	53.7487105251	2299	2.11646129713
réseau	53.7066255251	1417	2.41820652956
spatial	53.680537378	283	4.11944669327
group	53.1991641902	2751	2.01074051802
tourel	52.899750247	126	5.50792089202
produir	52.4265709946	4216	1.80541604401
compart	52.3379281011	400	3.57266183413
familial	52.3070661486	996	2.64415919578
anné	51.8754348083	6952	1.62112495916
bus	51.6151798929	515	3.2431590789
armé	51.4948686126	769	2.83856932962
disponibl	50.000312005	2349	2.0275142726
vill	49.454558935	1963	2.11103320992
assur	49.2586559038	1922	2.11828035485
constructeur	48.6198565086	3326	1.84048191252
canon	48.170471839	262	3.90432673244
épisod	47.8185265662	352	3.50051580999
monoplac	47.6474247652	484	3.13421311952
utilis	47.3300296473	5655	1.62812678434
circul	47.2123575671	1254	2.32428681539
saur	47.1915089431	76	6.05808866747
vitess	47.14501757	3906	1.75231259917
commercialis	47.0836486691	2137	2.0140711697
system	47.0102839407	3062	1.84677318266
calandr	46.8489356455	814	2.62637248211
essenc	46.7235761151	1920	2.0612363359
monospac	46.6623846192	673	2.77863069087
catégor	46.6048216549	1957	2.04855930426
restylag	46.5672631035	362	3.40215785204
arab	46.3349012309	323	3.52566467833
compact	46.1633953341	941	2.49209020565
tracteur	45.4438991064	363	3.34097856875
displaystyl	45.2672650461	189	4.18871757396
arriv	44.7532229458	2128	1.96586612825
vainqueur	44.5850291734	480	3.00494396668
card	44.5776148242	1625	2.09976643379
citadin	44.5350018038	784	2.57477905933
vendr	44.2939401216	2542	1.8751599286
matériel	44.2369627396	631	2.74020826354
dessin	44.1681048586	844	2.50613016476
engin	43.8398365493	558	2.83158851714
joueur	43.8146153091	234	3.78803236218
missil	43.5692357319	133	4.61884810295
tramway	43.3582163008	369	3.21567517336
rou	43.325155135	2431	1.87520760668
sinistr	42.9892629702	193	3.99796758033
combat-d	42.8018862019	59	6.12362703988
lanc	42.5206157593	2603	1.83025720111
histoire-militair	42.0832043942	107	4.86376581835
vélo	41.9370105794	347	3.20767167038
signalisation-routi	41.7627112415	53	6.23369207215
ton	41.7310673039	729	2.52921999949
autobus	41.6022888403	408	3.02461514187
mitraill	41.5280392761	171	4.06620965252
boît	41.5253104844	1825	1.96711978302
smart	41.3788076678	206	3.79748906941
pouc	41.3165923284	650	2.60170084747
champion	41.0903757426	508	2.79713569134
remorqu	40.9894292233	445	2.91226601583
voitures-lit	40.7780665052	53	6.10964173062
dialect	40.7682508174	100	4.85994761677
châss	40.7145757603	1805	1.95341762029
styl	39.9594338885	1077	2.20815693457
combat	39.6600212214	279	3.31913338606
italien	39.4465005239	1296	2.08838522019
record	39.054936654	1018	2.21407029899
film	38.9799142732	862	2.31526854694
salon	38.8987268951	1429	2.02261204078
eldorado	38.7068247883	70	5.29860077923
hippomobil	38.6473422488	343	3.04559768436
antichar	38.5632803316	55	5.754939047
thp	38.1468327147	123	4.28381732965
accident	38.0005952187	1089	2.14259664449
véhicule-électr	37.8728355172	352	2.97955413172
fer	37.7902742066	743	2.37173706313
man	37.7081141718	547	2.59044395679
diesel	37.2786356553	1094	2.11833060669
infrastructur	37.2702130259	353	2.94531564517
chemin	37.1595795893	853	2.26026060149
jeu	36.9604318772	673	2.40835851271
équip	36.9385788283	4125	1.5735707325
hybrid	36.8024429658	774	2.30925803822
drive-in	36.6437986123	40	6.15889390709
urbain	36.4264764112	992	2.14680430463
forêt	36.2970330097	173	3.66425028446
societ	36.2665488621	2040	1.79914842528
disput	36.1714340624	537	2.53933780592
vol	36.073202797	1816	1.84209471775
e-class	35.9490338545	98	4.43328364649
re-cl	35.9137825234	68	5.03796398925
vaisseau	35.804560656	166	3.67956707271
soupap	35.7805312969	672	2.36432285455
option	35.7783159395	1130	2.05624497596
puissanc	35.6552038316	2140	1.76722460064
deuxième-géner	35.5799822922	275	3.0944797977
vent	35.5360660154	2152	1.7625392048
march	35.0147335431	2782	1.66137101841
coffr	34.8104378863	700	2.30094925092
million	34.762664987	1371	1.93269592559
seconde-cl	34.7595250553	78	4.67779657222
autonom	34.5547014355	802	2.20788391076
chrom	34.3867817798	531	2.4713060036
consomm	34.3311348406	1512	1.87753889307
inject	34.2330813573	710	2.27045905258
tax	34.1491315694	874	2.14423687165
intérieur	33.8912214795	1900	1.77356677804
voyageur	33.7131285155	354	2.75684295661
parc	33.6407086406	583	2.37505634076
américain	33.4490841344	1781	1.7883468525
sen	33.0849440002	703	2.23376482832
voitures-électr	33.0783816738	308	2.84353998166
coéquipi	32.8578771532	169	3.43768717745
sport	32.7959700691	1270	1.91380297579
sportif	32.7863235008	1668	1.79822548994
noir	32.6231064263	1134	1.96130127845
compagn	32.563085903	834	2.116462284
prescript	32.3769508841	87	4.26131743518
incend	32.3763050853	362	2.66886241491
immatricul	32.2680958915	591	2.31007954414
feux-arri	32.2361554245	284	2.86800596985
manch	32.0731970616	284	2.85853632726
pompi	32.0436537104	225	3.07576882897
fiat	32.0428970188	285	2.85364117485
développ	32.0332608609	3875	1.51307577873
phas	32.0252153087	654	2.23726143752
militair	31.919547706	738	2.16217248822
première-cl	31.8480224929	121	3.76039127468
à-cam	31.8325873765	278	2.86357542955
compétit	31.7363629669	1290	1.87743632235
charg	31.7100153533	1552	1.80005364375
gagn	31.6877835517	786	2.11854214683
juin	31.639933321	1623	1.78079164153
aileron	31.5998643952	323	2.72100169551
combustibl	31.5100136641	310	2.75043232948
mahāyān	31.4663044278	45	5.21614326334
porti	31.2059164134	579	2.27965184815
automoteur	31.1433933159	159	3.37714344961
pole-posit	31.0751970754	112	3.79052074592
dommag	31.0249880654	236	2.96433758451
boîte-manuel	30.8981581777	264	2.85411704033
roadst	30.8706296661	325	2.67617845906
projet	30.8362226323	1761	1.73077901809
class	30.5879845722	1471	1.7924633215
routi	30.4991130385	1006	1.95333834537
conducteur	30.3643154754	1338	1.82442359872
fauteuil	30.2902148125	100	3.86406764431
troup	30.2476094029	276	2.77666700418
champion-du	30.2338675622	306	2.68988611354
suspens	30.1452732546	1429	1.79225568337
toit	30.1232099255	902	1.99359033413
locomot	30.0506988082	345	2.58514769038
carbur	30.0042441085	1456	1.78127374341
annonc	29.9114938168	1284	1.82882418832
voi	29.9111787725	913	1.98071270895
organis	29.906483119	1109	1.8908920495
sieg	29.8217723463	1365	1.80171186722
capot	29.6014944566	900	1.97742105873
présent	29.5757610954	4146	1.45801148182
lettr	29.438299008	613	2.17377977694
air-comprim	29.4123077543	117	3.58807590291
feu	29.3189292917	1085	1.88284499119
chalet	29.2666272105	59	4.49547448356
semi-remorqu	29.2543503756	92	3.87200308129
cuir	29.0930911851	521	2.25597564215
quatre-cylindr	29.0301840381	351	2.5184581591
trafic	28.9360343718	268	2.72354548216
cabin	28.9072248128	388	2.44038053214
civil	28.8902318275	402	2.41498948373
endurance-automobil	28.8228122684	267	2.71985976874
design	28.8116800223	937	1.9326059518
frein	28.7626697001	1354	1.77630097934
attentat	28.7468821607	176	3.09126719692
wagon	28.6837738048	253	2.75626492765
hayon	28.6597404817	501	2.26108276816
fil	28.6419461447	1098	1.85737339295
vapeur	28.6262496515	372	2.45575046108
édit	28.5028611303	1192	1.81929073162
pack	28.4330150311	364	2.46119719892
cheval	28.4216993112	1126	1.84026048682
cas	28.3729026602	1403	1.75241847273
médical	28.3520712549	152	3.20930702694
fourgon	28.2981090946	385	2.41526429047
carri	28.2868343909	697	2.05897486667
bataillon	28.174707743	80	3.94415309362
mil	28.1141944149	286	2.62299371962
polic	27.9397648678	607	2.11928173524
franc	27.8264342848	3035	1.50323511809
terrain	27.7977625347	893	1.92129675698
plac	27.5963273096	4376	1.41600069206
morti	27.5931431551	62	4.22443585643
couleur	27.5752860966	1125	1.81555508097
mondial	27.5650992357	1884	1.63166895504
motoris	27.5500551218	1636	1.67706393566
air	27.5426523504	1468	1.7141856105
titr	27.5390681861	1417	1.72669629054
villag	27.5227751647	202	2.87566345154
septembr	27.509360096	1649	1.6734171907
pist	27.4806002506	610	2.0981932814
rapport	27.4357777357	2287	1.57105484024
construir	27.4332087198	2154	1.58823656724
pétrol	27.2727101022	307	2.52150473368
restyl	27.2482869157	427	2.29583224687
britann	27.2358908076	788	1.95992797826
pouvoir	27.1961831577	4484	1.40501739361
agglomer	27.1214540381	232	2.73044278273
royal	27.1093380793	185	2.92583105422
ch-din	27.0846889028	209	2.81610116486
géner	27.0602563355	1487	1.69720773189
cyl	27.0433854715	119	3.36013860989
pare-choc	26.9568695926	567	2.11643453999
femm	26.7165275104	404	2.30509875759
énerget	26.6873504207	284	2.54556041229
intercircul	26.6864696744	37	4.86648255306
parent	26.6053478317	221	2.737122146
moto	26.3635112713	459	2.21034809458
motric	26.3201733409	665	2.00816924953
logo	26.2647994345	583	2.07300456761
coupl	26.2117834971	1050	1.802006007
e-hdi	26.206674989	77	3.78406060127
