word	C	count	sigma_nor
monnaie	422.473457226	6833	6.10374883616
displaystyle	325.437558676	2434	7.5741196053
impôt	261.922895812	5289	4.59518735231
entreprise	255.73873385	19158	2.84655736485
chômage	250.363618292	4751	4.62525856588
emploi	223.176405583	8821	3.37349620793
bourse	187.927643221	3299	4.26317250353
économie	181.859450274	19206	2.31145037174
numismatique	169.086366531	481	8.60461958672
pièce	164.575057359	2782	4.11054786261
théorie	160.160059124	4105	3.494159253
industrie	155.184730067	6788	2.88077979056
dollar	150.54136302	3246	3.63506288689
commerce	149.637489382	6662	2.83056844085
milliard	142.177006938	3569	3.37384552101
tau	137.003001047	6156	2.74332780726
taux	136.941252522	6154	2.74282433411
travail	136.683667237	10702	2.31989873243
inflation	136.563138049	2170	3.9202689431
économique	136.074180833	14216	2.1403441296
pays	134.457062677	12201	2.21615006862
commune	126.249477565	2725	3.41074308425
marché	125.467036541	9899	2.25966943789
chambre	125.029391438	2073	3.73499195768
revenu	123.447518556	4762	2.78529818395
million	123.218771804	4495	2.83396822761
microéconomie	122.823472411	556	6.14532577362
banque	118.572064238	4207	2.82398178966
macroéconomie	117.499365815	640	5.59412009602
production	116.569915001	7842	2.31458866185
exportation	115.477650586	2269	3.41514652196
prix	113.306986942	6473	2.40610751048
école	113.239273011	3806	2.83104046643
contribuable	107.487424679	630	5.23506372365
billet	107.082598473	1108	4.19482281563
économiste	105.045515127	2996	2.91336867389
secteur	104.820908511	5510	2.40955742172
capital	104.277975497	4712	2.51597188108
salarié	101.496843101	2499	3.02322274458
industrie-françaises	101.482106479	218	7.6884903816
société	100.270324076	8259	2.10189419242
euros	99.8571881147	2593	2.95432371547
frappe	99.4939366693	258	7.0493608768
monétaire	98.8229991166	2345	3.03317256776
chômeur	98.7678309265	981	4.129239429
politique	98.1992223974	9629	1.99957260748
frac	97.0130102593	509	5.2429083031
keynésien	96.6218461606	758	4.47604044918
payer	96.4557230263	2977	2.76243674047
concurrence	94.1774270511	2944	2.7303642635
population-active	92.0356543783	764	4.29813704635
croissance	91.8883512015	4297	2.39860413909
énergie	90.3691277091	2804	2.70110021051
université	89.3314137781	3291	2.55278580443
fiscal	89.1358993226	2737	2.69818026194
décroissance	87.025871634	584	4.55824983099
collaborative	86.8681442138	488	4.8779097062
salaire	86.5292019616	2540	2.71087617572
pétrole	84.5657941711	1425	3.22747921482
taux-d	83.7441170907	901	3.76670324143
taxe	81.855407482	1684	2.98480315513
néoclassique	81.8295206527	491	4.64188556823
social	81.7407037389	6932	1.98024523647
modèle	81.3535005222	3849	2.30800991271
imposition	80.6775054829	1029	3.49624655679
formation	79.9573974202	3028	2.44860113571
intelligence-économique	79.5623823212	405	4.88925946708
crise	79.2176349617	2929	2.45912302695
ville	78.4979518498	3099	2.40584710854
réseau	78.0508557036	3454	2.32439615694
impôt-sur	77.9913924848	533	4.33445380294
financier	77.9353203795	5381	2.06039728973
information	77.833161105	4306	2.18338709098
libéralisme	77.1376906979	674	3.93956782055
service	76.7658569978	7614	1.87847794476
tourisme	76.7624942278	1228	3.17634201195
rue	76.2658050825	1142	3.24128287158
denier	76.1694916865	270	5.52984464643
développement	76.1134399207	6872	1.91671327398
population	75.9215931737	3383	2.3016405599
and	75.6648061903	2841	2.41496564864
peso	75.5779945014	255	5.61970204243
région	75.3198282563	3710	2.23335212517
cantine	75.295196169	287	5.34814354816
loi	74.7851547659	4977	2.05788279581
gouvernement	74.6119251736	4750	2.08027041371
partial	74.2963744995	183	6.31930736498
produit	74.2195902999	5024	2.04497425459
change	73.7268485394	1176	3.13543116811
dette	73.3593021132	1813	2.71476255722
frapper	72.901840799	753	3.63076050438
habitant	72.8037353185	1929	2.65019855348
pôle	71.8665856498	1276	2.99917686584
investisseur	71.7056674784	1350	2.93981884189
étudiant	71.5520134806	1437	2.87672184304
individu	71.2409550724	1635	2.75278598638
gestion	70.1686599746	4185	2.08207372254
port	69.2134528589	1231	2.95982787097
agriculture	68.7696996471	1962	2.54565126716
tonne	68.4144781805	1019	3.12682296964
stratégie	67.5814690412	1756	2.60487039254
dinar	67.4731417237	318	4.70784459824
canton	67.3619588909	747	3.44027676612
courbe	67.3001599948	622	3.66744003826
macroéconomique	66.9503751118	719	3.47133521812
approche	66.30375673	1659	2.61950774019
activité	66.2793073114	6316	1.8325418632
contrat	66.0350162882	2297	2.3724131785
projet	65.706607269	4346	1.99436862424
consommation	65.3729248466	3066	2.17695711615
recherche	65.2863150979	4482	1.97295683598
économie-circulaire	64.6511682026	180	5.66401264135
numérique	64.4213580533	1139	2.89545940389
microéconomique	64.0495278361	382	4.22040593426
gabelle	63.8719567697	116	6.65751927805
organisation	63.8448935876	3682	2.04934006069
épistémologie	63.6464579654	194	5.43138946657
équipements	63.613301898	203	5.33471813588
kilomètre	63.3130429251	1080	2.91242761304
banque-centrale	63.2844946237	424	4.02458316717
libre-échange	62.6667236783	620	3.4875531717
exploitation	62.4466228891	1840	2.44889307921
importation	62.2980142086	1132	2.83853350364
français	62.183366723	7022	1.74087773318
international	61.9413632008	5176	1.85919654677
innovation	61.7875769559	1953	2.39181742246
départemental	61.5898835814	540	3.61588595458
pensée-économique	61.1484052127	445	3.85438998966
écu	61.1153156087	175	5.46753861097
fonds	61.0873046746	2375	2.24864773834
tunisien	61.0234725199	339	4.25089098594
pouvoir	60.6113679589	11587	1.56246772337
national	60.5731239094	6585	1.74518584688
mathématique	60.0353675343	860	3.02898541399
science	59.8037261422	1787	2.40780078185
informatique	59.768178404	1677	2.45199451669
association	59.3410740867	3076	2.06658704511
finance	59.3108847678	2859	2.10554825111
utilité	59.1060279806	837	3.02439885664
agricole	58.9209324066	1670	2.43437041146
transport	58.8840091326	2280	2.22824616208
professionnel	58.8119777857	2446	2.18464944525
financement-participatif	58.7090779524	200	5.02836472436
livre	58.5988985948	2268	2.22550401493
agent	58.4182047914	1711	2.40512549503
développement-durable	58.3699098267	881	2.94934264058
actionnaire	57.9816959876	1132	2.71105897308
pêche	57.8342436364	662	3.2229099487
centime	57.7218516595	278	4.38358339583
président	57.676185372	2452	2.16034586081
science-économique	57.6563555771	348	4.03256556779
années	57.5603089006	4773	1.83131300737
politique-monétaire	57.530761364	402	3.82143893047
entreprises-commerciales	57.4069319066	192	5.01589338302
donnée	57.1824977867	2493	2.14096750097
argent	56.9261526323	2043	2.25389501122
fédéral	56.6439231813	1245	2.59474801962
analyse	56.2619058167	2547	2.11069718809
action	55.96749252	3998	1.88287480905
groupe	55.9239318893	4080	1.87331355676
hétérodoxe	55.6742766966	195	4.86592288684
électricité	55.1676800149	1127	2.63151671768
travailleur	55.1633424266	1578	2.38108672993
monopole	55.138984835	1037	2.699089126
indice	55.0994615514	1233	2.55868020013
gramme	55.0373351034	142	5.43692813473
industriel	54.8156432057	3758	1.89176378026
fond	54.7339940485	2610	2.06747508533
équilibre	54.6978129673	1534	2.38874650133
fonds-souverains	54.5183387548	161	5.14395830201
diplôme	54.4852974979	622	3.15906484694
robot	54.3647089589	255	4.32139615604
département	54.0408466798	1085	2.6284304461
consommateur	53.9933085034	1611	2.33797967107
suisse	53.8767415908	861	2.81962480291
