word	C	count	sigma_nor
tumor	1411.02780915	7937	16.8193115951
vaccine	1174.55223978	7862	14.2306353442
cancer	961.161295252	12067	9.74243069911
card	678.805581233	137916	2.82764535525
antibiotic	656.248919102	3048	12.8540390911
pneumonia	470.419199034	1625	12.6144412333
mental-health	428.140436586	1225	13.1587742536
cell	425.266453563	7596	5.87322569437
allergy	403.800612118	1798	10.4815154317
carcinoma	385.819392756	1660	10.4253995547
patient	375.819201831	8438	5.08650678564
episode	370.595426517	4372	6.5933463411
vaccination	354.669193927	1935	9.02969231488
his	344.644411294	11370	4.22920868162
protein	322.372689491	3180	6.70130584845
symptom	316.510670883	4294	5.82004094055
vitamin	296.673233817	1882	7.8097835483
infection	294.231489111	3872	5.71768403279
disease	293.953214337	8212	4.2398848831
the	286.430831895	306116	1.5176673557
health	275.307886365	7362	4.20437956733
allergen	269.871211185	672	11.3048556092
gene	266.179608939	2571	6.23253640672
chemotherapy	266.08235392	1554	7.71619100649
deficiency	263.373333605	1471	7.83114376431
album	253.948234976	1780	6.99241370825
universe	245.11596202	513	11.6837749032
breast-cancer	244.683896853	1608	7.07227858588
vitamin-a	241.998610393	498	11.7020101412
planet	238.907816387	1114	8.11050225212
therapy	237.253093186	2640	5.60282087698
metastasis	234.161433589	895	8.76465928621
syndrome	233.837534333	1665	6.70367902634
vitamin-d	233.272241582	693	9.77337555969
malignant	231.641926372	1132	7.83979490336
her	228.5542735	5155	4.17751754813
song	226.979268318	1594	6.65731491018
antigen	219.903719227	1125	7.51307134504
she	216.358344131	4307	4.28978404497
teratoma	208.744553493	474	10.4564216552
th-doctor	206.643689456	250	13.7619753335
influenza	205.68632725	773	8.33089893435
cure	205.507249853	3891	4.2869468266
ovarian-cancer	204.319070441	585	9.35049810546
him	203.574328925	2923	4.75430178452
film	201.505833742	2438	5.06703619972
story	200.331453086	2486	5.0043306351
character	200.24527247	2122	5.33021960668
serial	200.141954783	1008	7.25816264944
virus	198.158307205	3214	4.48583778587
mental-illness	196.496954191	725	8.22771300894
health-care	194.639050024	2114	5.2168717242
disorder	193.642001875	2341	4.98796304796
asthma	190.296690989	851	7.46859655998
receptor	189.821801794	1108	6.66440245641
incarnation	188.73590947	516	9.20226638132
food	187.151300635	3714	4.06353337325
vitamin-c	185.993832969	442	9.71770849582
band	182.389005225	1592	5.54857650887
bacterium	180.954090054	2063	4.9681749215
germ	180.817995206	830	7.22245049382
chronic	179.666140638	1507	5.60419924402
liver	178.315571493	1202	6.11097541142
penicillin	177.38515483	631	7.98517957398
autism	176.750627982	804	7.17854647903
risk	174.808309271	3786	3.83423170071
pneumococcal	173.317157881	272	11.2777767965
vitamin-b	172.880700168	431	9.20298017272
tumour	170.086090626	883	6.67716097515
mutation	167.830756005	1719	5.02911846959
adenocarcinoma	164.47053079	498	8.27248902485
companion	162.982734486	952	6.24180006262
health-insurance	161.560513176	617	7.43223776358
died-at	161.274187924	529	7.92360820342
public-health	158.481925997	1253	5.44992469863
series	156.991537444	4039	3.46462704518
diagnosis	156.857613371	2018	4.47753980781
alien	154.022395464	444	8.20272496009
service	154.014334655	2537	4.04745883106
adenoma	153.886320406	349	9.08991132891
médecine	152.392505973	440	8.15797660286
vitamin-k	151.841971409	237	10.6189825316
antibody	149.283698972	1181	5.31610717254
illness	149.186507732	2610	3.91057038874
allergic	147.944386677	738	6.39394860169
adjuvant	147.050809629	503	7.47024612795
gluten	143.745189995	300	9.13016052779
anaphylaxis	142.831674683	300	9.07846086027
enzyme	140.852128144	974	5.47904198366
pneumoniae	137.065708115	267	9.19974234172
incidence	133.40717704	891	5.43276490194
germ-cell	131.915841547	364	7.7942260024
lung	131.746931759	1510	4.37261089962
tissue	130.335008434	2086	3.84224412081
benign	129.239748521	700	5.83580282568
scene	127.517663373	738	5.64892434204
dose	127.081893851	1595	4.16603750823
drug	126.830658698	3395	3.17092049945
diet	125.910099625	1286	4.48992790403
tetanus	125.072204775	360	7.47615760108
research	123.915399137	5080	2.73525268649
radiotherapy	123.607658662	457	6.69897850233
increase	123.560049722	4851	2.77051256595
polio	122.614725209	538	6.21999001903
hospital	121.276796951	2903	3.24402092973
sarcoma	121.19974364	465	6.54078928485
supplementation	120.688965182	344	7.38828893155
flour	120.418178669	399	6.93121576847
measles	120.298663092	607	5.82738334178
broadcast	120.297406136	782	5.26238049368
peanut	119.685558887	434	6.65871240803
cephalosporins	119.109344733	158	10.1450645475
prevention	119.010678075	1185	4.43484459542
rotavirus	115.96608956	179	9.39460751697
pollen	114.64936234	344	7.06838406646
intake	113.659923611	681	5.31047910251
prognosis	113.488315157	587	5.62936776948
medication	113.081167669	1052	4.46143694414
insurance	112.702633775	751	5.07343759489
book	111.669942617	1705	3.69146662338
rhinitis	111.568650965	233	8.12384054914
study	111.410215261	5785	2.46224427047
game	110.531980985	832	4.79850547142
displaystyle	110.371431116	369	6.64642496521
antimicrobial	109.967492524	262	7.6375513986
medical	109.775017339	4533	2.62699879111
urticaria	109.716380759	248	7.79923871308
care	109.698667659	2745	3.08702857466
retinol	109.338338334	168	9.15501451504
clinical	109.039391956	2290	3.27004291827
melanoma	109.032829971	457	6.02661426184
pertussis	108.932403772	254	7.67364729577
flu	108.06504688	496	5.7867456711
bacterial	107.627146567	866	4.62635559769
vaccinate	106.637018975	492	5.74217154169
immunization	106.548764995	596	5.3138455593
tumor-cells	106.42394602	404	6.2098451917
regeneration	106.291973972	524	5.58346025854
psychiatric	106.135882659	629	5.18504282801
may	105.873675561	6921	2.27072099777
program	103.919501424	2923	2.91622415843
prostate-cancer	103.135915127	447	5.80614721304
psychosis	103.12543902	316	6.68683888886
warfarin	102.803370225	196	8.12762642122
soy	102.653638899	239	7.47482750912
healthcare	102.611672585	938	4.32378642308
outbreak	102.477538756	828	4.52994754163
social	102.146982325	1566	3.56789091241
biopsy	102.003932371	555	5.27646350797
lung-cancer	101.960083358	452	5.7256184471
skin	101.580218064	2160	3.17700526296
neoplasm	100.409773587	431	5.76286679725
growth	99.9155391029	1485	3.57875777663
mentally-ill	99.6296833617	180	8.19188829494
