word	C	count	sigma_nor
studio	498.867851649	3172	9.83402843713
commune	477.437591803	8472	6.18110508345
immobilier-classé	442.983831169	797	16.5547300418
épisodes	431.508443587	1194	13.4108273095
hypothèque	287.064779546	1322	8.85020828422
immeuble	286.33471884	4130	5.44588703649
film	281.067109283	4073	5.39440832602
appartement	244.001257195	2417	5.94608418138
immobilier	231.884617034	3147	5.12219636532
impôt	216.657746061	2937	4.98613098594
taxe-foncière	213.660146183	1081	7.45414015347
ville-belge	206.732640212	221	14.5437779725
château	200.611357542	3184	4.54550506114
rue	195.107107519	4323	3.96114401694
saison	185.779057929	2470	4.72534441826
banque	182.078398955	3490	4.07424298027
étages	177.167780115	420	9.51301417531
roi	173.109781353	3783	3.80779717336
résidence	166.48841824	2921	4.07131852233
location	164.956488513	1887	4.78104495553
displaystyle	164.262798056	611	7.57128877833
vélo	162.565760139	875	6.45047309875
bail	162.487644873	1537	5.12340001388
gratte-ciel	160.953915851	578	7.61654521442
patrimoine	157.981039471	3225	3.77425634512
vosges	155.130128559	560	7.47664951544
palais	150.105668973	1894	4.43425338215
ville	149.90223755	6898	2.80224220936
monuments-historiques	149.307525508	1115	5.44129576872
non-bâties	148.730556748	573	7.13994858964
propriétés	147.399740315	944	5.76025477388
logement	147.341632926	2795	3.77832163122
hypothèques	144.345661471	653	6.5888763468
église	141.074971323	2510	3.80626723706
regroupe-l	140.068277927	268	9.36444071883
épisode	137.139372571	1669	4.3407029891
américain	134.903595712	4195	3.07821216626
légales-des	133.401314946	776	5.74484180592
habitant	132.660547124	3873	3.12658237077
revenu	131.218361242	2822	3.4624345106
animation	127.577344163	1014	4.9769575746
tau	127.45981904	2695	3.44729569448
taux	127.375772679	2692	3.44703655485
crédit	126.360051663	1976	3.8306684759
abbaye	125.304189709	1128	4.70578387509
monétaire	124.219008955	873	5.16908683657
taxe	122.98522975	1822	3.86826413631
étage	122.893232085	1612	4.04560257105
créancier	119.89096319	897	4.97032666602
créance	119.2151067	715	5.41429707682
contrat	118.468135506	2539	3.3430569719
foncier	117.073890794	1516	3.99099915922
album	116.186404162	784	5.11148135948
constitué-ainsi	114.866420238	222	8.50610126933
garantie	114.501410457	1271	4.19208042786
diffusion-rmn	114.334117583	196	8.92793731487
village	114.165122383	2398	3.32297414351
do-sul	114.160080706	123	10.8514172666
fiscal	110.345233213	1709	3.65643892184
loi	108.902587872	4738	2.57888250182
service-régional	107.829712379	200	8.40505551521
chanson	107.463727505	749	4.88909215839
monnaie	107.079487519	1451	3.79562322728
nantir	107.013754214	364	6.51088698388
salle	105.587057065	2109	3.28991957112
fiscalité-suivants	104.794121546	250	7.46896759843
chapelle	103.577715006	1041	4.18691665732
population	102.907524065	3413	2.75672256224
bâtiment	102.711453442	3063	2.85037063705
emplois-d’	102.555142139	245	7.39223756331
payer	101.350263609	2652	2.96148912638
ressources-d’	101.212352229	242	7.34580973391
quartier	100.358146935	2215	3.12411038533
cinéma	98.4180578253	1313	3.69975430844
left	98.3551241981	169	8.31443911787
bâties	98.319539288	231	7.30303375187
rhin	96.5110267655	286	6.5841637406
chypriote	95.8401052177	146	8.63427606101
commune-était	95.2386767822	261	6.75833418454
territoire	94.9154631806	3079	2.70546035199
président	93.6832312576	3447	2.59134524706
maison	93.5704087851	4185	2.44307253851
dépôt	92.8291515619	1620	3.29467318068
estonien	92.7588114749	219	7.09963345025
institut-national	92.5576877386	232	6.9210337991
production	92.2617596458	3187	2.62957011707
architecte	91.8046961625	1530	3.33455085222
duc	91.5595471676	1055	3.79844610387
architecture	91.0519412671	1845	3.11012664814
bancaire	90.8548946182	1028	3.81267937041
boulevard	90.3742329788	608	4.62302735191
gouvernement	90.2032458751	3396	2.54362674862
esclave	89.4079092483	603	4.59880174554
entreprise	89.1803717545	3690	2.46432663312
parc	89.1584035674	1903	3.03473255624
commune-française	88.3611390665	406	5.31460116075
taxe-d’	87.8927901795	240	6.53182690636
loyer	87.3990721864	978	3.77305800614
