word	C	count	sigma_nor
assurance	446.035326163	3406	8.62347112171
santé	349.400234093	20146	3.46028629326
cancer	289.72215993	8064	4.22235799683
vaccin	279.497563792	3482	5.72470997158
virus	275.815782762	5243	4.80241991319
syndrome	205.585461995	3460	4.48614701934
infection	195.697552028	5079	3.74089599031
réassurance	174.285855962	203	12.8889258517
chirurgien	171.577689739	2205	4.64014784353
médecin	166.451024364	8638	2.7887902257
assurance-maladie	164.699535813	1710	4.96424002597
maladie	161.462845307	13121	2.40838263893
furet	156.619617364	337	9.37443941677
mutuel	154.446582329	1185	5.45795986488
soin	153.283319297	5436	3.07531323124
service	149.274602219	5027	3.10138737589
antibiotique	149.07539796	1252	5.18738706835
antigène	148.802554438	855	6.04606219334
tumeur	146.549444791	1792	4.44626139688
tique	145.683959541	558	7.09277709996
protéine	143.002146969	1741	4.41134028211
établissement	142.118449311	2786	3.68411482625
infirmier	141.361268271	1771	4.34372564569
hôpital	138.418608356	4098	3.15736507795
radon	138.320954602	323	8.54891456283
cellule	137.627517375	3021	3.49665054791
infecter	137.551237261	1559	4.46594485025
armée	133.694035911	1441	4.50271044444
dépistage	132.882593242	1920	4.01961289738
vaccination	128.686218302	2063	3.82177340498
anticorps	126.623861777	1151	4.70764382301
métastase	123.061636561	513	6.36238694428
odontologie	122.657812338	494	6.44427658716
bactérie	121.214602844	1799	3.84483360794
médecine	120.32396637	10523	2.17172653372
étudiant	120.301318563	1619	3.97495086086
viral	120.235067363	1229	4.40817892314
adventiste	118.953334981	280	7.95455787396
pollen	116.200580024	388	6.80165204874
social	116.171358907	3285	3.02129770796
loi	115.917968881	2638	3.24941977941
chat	115.867765602	459	6.33055667635
prévoyance	112.714578474	365	6.79696031644
entreprise	112.472917765	1977	3.51885819183
travail	111.479908223	5799	2.46139695375
saint	110.939468976	569	5.59491924813
cas	110.926017432	9441	2.14030491494
école	110.433047529	2600	3.15847201007
risque	110.009371195	6336	2.37981970799
assureur	108.954418839	440	6.11669144919
test	108.915149044	2357	3.23519592467
traitement	105.935224906	7512	2.22053961126
symptôme	105.511896586	2223	3.22922974384
gène	104.54479687	1487	3.69648406941
enseignement	102.951516166	1232	3.91456749644
molécule	102.939755188	1489	3.65330280906
prestation	101.849173191	793	4.58370306302
allergie	100.107503625	1029	4.09778178999
dose	99.0670300151	1626	3.4444470828
chirurgie	97.3732237886	2323	3.01274068692
thiomersal	97.0838736518	153	8.56562266216
patient	96.9769863293	6659	2.18654111901
animal	96.4592190914	2616	2.87953164635
mort	95.5775853698	3550	2.599910562
professionnel	95.3372906519	3643	2.57547324336
dysplasie	94.8052435937	296	6.39526135941
lésion	94.3773129489	1325	3.57723208618
contrat	93.2277643124	1101	3.79001103664
centre	92.7697201965	4117	2.44244278235
espèce	91.1462371221	1666	3.22199440276
hépatique	90.9562651017	631	4.58057422484
militaire	90.2295554406	1313	3.47503648036
guérison	90.1447182885	1448	3.35574200989
faculté	90.0136568119	1324	3.45893688957
chirurgien-dentiste	89.3662767497	416	5.31237273644
pharmacien	89.1295567954	969	3.8409256437
salarié	88.0633527187	806	4.07367128934
syndrome-d	86.8481709377	130	8.30175616996
carte	86.7505515199	897	3.87238221958
mutuelles-étudiantes	86.6451978372	94	9.45504194892
soins-infirmiers	86.6124830798	686	4.27241933172
variole	86.2765186759	525	4.71636114915
acide	85.7838835917	1203	3.45712539806
