word	C	count	sigma_nor
joueur	459.389649083	6685	6.61068896446
ski	450.830366489	4185	7.95421714438
cheval	444.763461575	6071	6.69942943609
animal	380.589362385	3480	7.43559224998
arts-martiaux	357.354478075	3048	7.45478687081
combat	331.141555109	6017	5.26230449427
championnat	311.350694357	8404	4.39229936903
remporter	267.740509118	7311	4.12712118342
épreuve	267.047566989	6484	4.31149333911
course	266.311470899	5520	4.57835127905
sport	262.719363017	18446	2.93318985348
football	260.642079652	4381	4.92970520311
élevage	250.555180342	1071	8.60372795788
balle	234.641503369	1918	6.33533153497
club	232.937791704	5962	4.01195638138
athlétisme	230.927068562	3190	5.07753864157
race	230.312425631	1556	6.80948639591
équipe	226.376019517	8193	3.49790795622
footballeur-français	226.183351212	450	11.5098274018
footballeur	224.809704779	954	8.22337167155
monde	223.76150304	12999	2.96096083673
cyclisme	220.141425184	2085	5.80231116306
équipe-nationale	211.500228401	893	8.02080607737
cycliste-français	204.597339655	349	11.7572373198
champion	203.30479295	6627	3.49372331868
hockeyeur-sur	203.184826064	323	12.0910540817
cyclisme-sur	196.303646441	854	7.66127819804
adverse	188.540299006	1521	5.80956824802
hiver	187.562735209	2850	4.50277197723
athlète	187.109891052	3981	3.95876912475
cycliste-italien	186.895523537	289	11.7644578625
cycliste	185.483017679	1530	5.71774687573
jeu	184.640838209	8312	3.02274797384
pilote	184.465955374	1503	5.73345864847
cycliste-belge	183.569854484	234	12.7013637145
piste	182.864456885	2236	4.85283218596
match	182.050962278	3612	4.02164356666
footballeur-puis	180.127206918	301	11.1728183126
rugby	167.702001645	2296	4.4871290032
remportée	167.564138644	290	10.6344522329
adversaire	167.222940821	2967	4.06098318542
planche	167.211631794	1129	5.94344552057
espèce	163.826792674	1217	5.66686990739
coup	163.184642751	3566	3.72580068962
record	163.050263983	3132	3.90529099912
combattant	162.258692689	1109	5.83954709891
étalon	157.575933966	467	8.18966120377
tennis	156.544550384	2217	4.31220599744
contre-la-montre	153.263049835	471	7.96374228485
jeux	151.7846626	3178	3.68497092712
médaille	150.615117594	2606	3.94068926572
voile	150.541379525	1206	5.30761789118
saut	149.485589585	2607	3.91807473606
viande	147.28015647	486	7.59012181486
à-xv	146.268373427	1104	5.37223864214
combiné-nordique	140.714998948	665	6.39974334701
station	138.269934336	1405	4.66831713942
raquette	137.008673477	1241	4.86518733555
épreuves-combinées	134.293736629	325	8.30714417409
karaté	134.053021552	961	5.29112130216
gymnastique	132.094959487	1738	4.1537788215
kilomètre	130.858373759	2107	3.83949915521
boxe	130.836634043	2148	3.81198150463
cible	130.479861806	1580	4.26598038347
saison	130.020802817	3494	3.19391931311
arme	129.857559797	1965	3.91711261609
tournoi	128.285252885	2161	3.7488816873
chien	126.270709414	855	5.28171661392
pur-sang	125.363683474	353	7.55336238741
olympique	125.093582754	4425	2.87649432475
corrida	124.553838687	316	7.86948842638
rallye	123.695125316	721	5.56148247928
basketteur-américain	123.554192178	201	9.46589828466
engins	122.450408566	142	10.8843956016
attaque	122.443389084	1519	4.12516097742
coureur	121.841979475	1185	4.5165907158
féminin	120.56022822	3226	3.11668426687
sportif	119.6598644	7136	2.41446554939
heptathlon	118.868741893	273	8.03480798209
impose	118.223243766	609	5.73641133801
hockey-sur	118.112668721	1018	4.67465603042
glace-canadien	117.881424575	211	8.89231902225
sports-motocyclistes	117.876512073	346	7.22182080267
style	116.862729398	1668	3.84747914492
tigre	116.674835641	412	6.65778901738
joueur-américain	115.865410205	162	9.79173127614
skipper	114.584024855	229	8.37739117644
renard	114.519613394	256	7.98988236169
action	114.154731038	2275	3.384340346
glisse	112.067368267	826	4.86505010603
technique	111.78801006	4428	2.67629895387
australien	110.878213698	1186	4.19870723344
français	110.497372973	6209	2.40000601636
simple-femmes	110.072775587	179	8.9675760553
simple-hommes	109.797310586	206	8.43502724726
sélection	109.202173845	1897	3.49624887815
août	108.22888329	3082	2.94380479988
vainqueur	105.405092538	2363	3.16040961027
glace	104.415772836	1426	3.74962281788
mètres	103.57821019	1179	3.99678697035
février	102.386682094	2864	2.90719891894
poney	102.051240487	537	5.34804470594
tir	101.866743862	1797	3.39193770115
finale	100.913694013	1968	3.26503327404
poing	99.7794463925	864	4.36564432893
cycliste-espagnol	99.6238188235	167	8.45060803095
victoire	99.6059645761	2890	2.84706566499
équipes	99.5033769725	1490	3.56384255891
équestre	98.9720496044	856	4.35373460816
dan	97.7270328024	353	6.10772768322
rameur	97.5635936508	350	6.12031376757
mai	97.1025205252	2904	2.79630632402
domestication	96.9055232708	212	7.47209850634
juillet	96.7289045399	2896	2.7918498276
yards	96.4158714511	191	7.76678286074
sprint	96.1694976322	709	4.57533794171
compétition	95.92750006	5741	2.26380101806
neige	95.3814021751	945	4.07816120167
courses-automobile	95.2813130774	152	8.4478454028
plomb	95.1792680649	489	5.24497707811
baseball-américain	94.9741474479	290	6.45850513798
sports-nautiques	94.1813700197	462	5.31850854402
ballon	94.0499112209	881	4.14196446603
sabre	93.4900239866	455	5.31882255781
basket-ball	92.825305858	1130	3.74249694306
janvier	92.7873479073	2734	2.76873291984
stade	92.542795298	1966	3.07813178071
avril	92.3993337465	2738	2.76005417289
juin	92.3907486471	2961	2.6926720429
route	91.9495909591	1830	3.13958659872
kata	91.6520508512	316	6.05361394334
