word	C	count	sigma_nor
joueur	459.128930603	6686	6.60708624054
ski	457.43782945	4243	8.00792480489
cheval	444.874800611	6071	6.70085625403
animal	383.085479755	3532	7.43014262062
arts-martial	357.253928464	3048	7.45297053487
combat	332.369185664	6257	5.19547162351
championnat	310.965123602	8404	4.38809818925
remport	291.96471609	8367	4.18808137142
athlet	277.394563193	7504	4.19804230398
cours	269.062588803	5573	4.59813719914
épreuv	267.177173636	6490	4.31157263249
équip	264.891166961	10471	3.58609424182
football	260.526167004	4381	4.92795743385
élevag	251.634314689	1075	8.62242844862
sport	249.826025626	18498	2.83572873457
ball	243.045008689	2016	6.39138024624
club	232.762193543	5962	4.00968565419
footballeur-franc	226.080190938	450	11.5050324433
footballeur	224.719435459	954	8.22047059291
mond	223.689835232	13000	2.96025743676
rac	221.30168863	1566	6.56445860877
cyclism	219.992951352	2085	5.79907177138
équipe-national	211.338545542	893	8.01543768944
médaill	206.636890993	3688	4.39439432928
cycliste-franc	204.562507108	349	11.7554051784
hockeyeur-sur	203.101924148	323	12.0865269058
champion	202.965290672	6627	3.48955862797
cyclisme-sur	196.109431077	854	7.65468604692
pist	188.021122221	2298	4.90802459491
hiv	187.586402159	2852	4.50199175379
cycliste-italien	186.834638494	289	11.760949435
cyclist	185.401719131	1530	5.71567862372
jeu	184.450036269	8312	3.02065754428
cycliste-belg	183.505501467	234	12.6972593977
match	182.844987319	3628	4.02815296214
advers	182.685841963	1525	5.65413097101
footballeur-puis	180.040657872	301	11.1679280041
rugby	167.582870336	2296	4.48465137005
adversair	166.277516379	2971	4.04163505874
espec	165.368904644	1227	5.69177784488
record	162.953663266	3133	3.903108221
combatt	162.244670617	1109	5.83912875814
étalon	158.004245885	468	8.20169009572
gymnast	156.765842706	2185	4.3409337128
contre-la-montr	153.530595791	472	7.96868592333
glac	152.016044681	2184	4.2404238591
jeux	151.613353499	3178	3.68194004918
pratiqu	150.167953849	8088	2.66763923293
viand	148.96995762	491	7.6325237015
planch	148.413419682	1182	5.28914242254
voil	146.730713851	1243	5.13624718429
à-xv	146.164661952	1104	5.36913754726
box	144.302794207	2561	3.84192629773
pilot	141.848420563	1687	4.43711104688
combiné-nord	140.614688564	665	6.39589246929
karat	138.968569208	993	5.37718214112
saut	138.679715786	2956	3.54311381855
kilometr	138.232179694	2207	3.93124545902
raquet	138.121529301	1250	4.88268547945
station	137.264996872	1441	4.59629544816
attaqu	135.70123929	2347	3.79095701071
domest	135.037274991	469	7.14800378624
épreuves-combin	134.248646471	325	8.30468919918
coup	134.121219132	6179	2.7034820125
cibl	131.715646103	1734	4.14831665811
metr	130.25892481	3274	3.27025327825
arme	130.15367882	2009	3.89179687026
saison	129.927170495	3494	3.19233908948
tournoi	128.820867754	2172	3.75340862389
chien	128.183300907	866	5.31929870749
tigr	127.174470281	446	6.93360268201
olymp	126.827804902	4495	2.88769426317
corrid	124.588040894	316	7.87137607198
rally	124.03381944	724	5.56464924548
basketteur-américain	123.500982504	201	9.46224917486
action	122.050354225	2495	3.43499307121
coureur	121.773905904	1185	4.51462527676
final	121.473909999	3637	3.00914867243
féminin	120.4911615	3227	3.11514512236
sportif	119.507208262	7136	2.41266077607
styl	118.973534499	1726	3.85019658754
heptathlon	118.814991257	273	8.03162447353
hockey-sur	118.025900531	1018	4.67195546508
sports-motocycl	117.852981074	346	7.22057791403
glace-canadien	117.829332168	211	8.88882823928
joueur-américain	115.834387022	162	9.78937480949
renard	115.545780139	258	8.02626822897
skipp	114.52467944	229	8.37356689661
techniqu	112.453231674	4458	2.68061306493
franc	111.626500667	6288	2.4054259401
australien	110.843571315	1186	4.19770744625
simple-femm	110.0402495	179	8.96521920438
simple-homm	109.788632161	206	8.43443900683
sélect	109.137880004	1955	3.45776223203
août	108.164553475	3082	2.94264913886
vainqueur	105.420640211	2365	3.15982014682
pur-sang	104.555692533	356	6.44255169275
sprint	103.37737609	756	4.72405102413
févri	102.349429186	2864	2.90650480319
poney	102.085227199	537	5.34949368882
poing	99.7542819696	864	4.36479507452
cycliste-espagnol	99.605032442	167	8.44920136233
victoir	99.4831805692	2890	2.84478815248
équestr	98.9760061019	856	4.35386874671
défens	98.3389473589	1631	3.42278424773
dan	97.6630053507	353	6.1043784964
rameur	97.5156833589	350	6.11779725026
enseign	97.3366550292	1916	3.21395159353
utilis	97.289310421	6156	2.23791072937
juillet	96.6778258374	2896	2.79090334927
gliss	96.5093657584	1158	3.81710176236
mai	96.3800134604	2918	2.77867661232
courses-automobil	95.242167075	152	8.44478145301
compétit	95.2344207382	5876	2.24021315852
baseball-américain	94.905945006	290	6.45458159723
neig	94.7426143543	947	4.05434825426
rout	94.3926459934	1869	3.17359242035
sports-naut	94.123031824	462	5.31583154965
ballon	94.1207330773	882	4.14257396663
euthanas	93.7419214637	143	8.53977476651
sabr	93.3509612882	461	5.28492956297
plomb	93.2750171492	497	5.12714502164
regl	92.7943083854	3717	2.51816266167
basket-ball	92.7469498527	1130	3.74018081791
janvi	92.7439037566	2734	2.76790452106
stad	92.7348868124	1970	3.08034692714
avril	92.369899485	2738	2.75949332453
juin	92.3561971921	2961	2.69203884336
kat	91.607817366	316	6.05117266393
baseball	91.5419658039	877	4.06500214963
aviron	91.245747764	691	4.43531368112
rel	91.0111952592	1089	3.73843175568
boul	90.5889987425	669	4.46520620524
martial	90.4774799058	687	4.41609992352
kick-boxing	90.4456243359	383	5.54344151322
footballeur-angl	90.3470020764	190	7.35616295457
vétérinair	89.3723246016	419	5.29760959811
full-contact	87.5172998163	276	6.15079461256
cricket	87.1602373544	613	4.4800902878
bronz	87.0555823053	1548	3.20093853125
offens	86.8956041618	876	3.91098265606
septembr	86.6258948361	2625	2.68498891345
hockey	86.3665885899	766	4.09088467121
masculin	85.5281068579	1915	2.94577175722
yard	83.7565189407	336	5.4828333118
squash	83.3000316397	515	4.62194474106
à-xii	82.1486138288	450	4.81499653614
équin	81.9377674799	246	6.09598036316
