Word,Specificity Score
agroforestier,2.0
anti-libérale,2.0
bas-carbone,2.0
britannico-irlandais,2.0
chapters,2.0
emblaver,2.0
fix,2.0
françaisesaéroport,2.0
hes,2.0
implementation,2.0
inventeur-fabricant,2.0
job-centers,2.0
lassociation,2.0
mai-novembre,2.0
micro-prêts,2.0
mécanique-matériaux,2.0
non-collective,2.0
non-défini,2.0
non-souhaitable,2.0
négocie-t-elle,2.0
privéd,2.0
reica,2.0
s-village,2.0
savonnier,2.0
significativement,2.0
strasbourgeoises,2.0
supply-side,2.0
teikeis,2.0
totaux,2.0
troqueur,2.0
trésorier-payeur,2.0
utiliseront,2.0
xpath,2.0
zaibatsus,2.0
abattements,1.9642857142857142
agroenvironnementales,1.9642857142857142
appartements,1.9642857142857142
appuis,1.9642857142857142
audiotel,1.9642857142857142
azur-corse,1.9642857142857142
bloqueur,1.9642857142857142
centrum,1.9642857142857142
cerfa,1.9642857142857142
citroën,1.9642857142857142
clientéliste,1.9642857142857142
comminatoire,1.9642857142857142
conjugée,1.9642857142857142
corégent,1.9642857142857142
demi-pfennig,1.9642857142857142
disputable,1.9642857142857142
déclassification,1.9642857142857142
décroiser,1.9642857142857142
définitionnel,1.9642857142857142
dérégulé,1.9642857142857142
encombre,1.9642857142857142
endogéneïser,1.9642857142857142
entrepreneurialisation,1.9642857142857142
envisage,1.9642857142857142
ex-dirigeants,1.9642857142857142
intègrerait,1.9642857142857142
islamisme,1.9642857142857142
libéral-socialiste,1.9642857142857142
micro-structure,1.9642857142857142
mohawk,1.9642857142857142
monétarisées,1.9642857142857142
orctobre-décembre,1.9642857142857142
pone,1.9642857142857142
post-fordiste,1.9642857142857142
protomonnaie,1.9642857142857142
présidente-directrice,1.9642857142857142
rajuster,1.9642857142857142
ricum,1.9642857142857142
savoie-entreprise,1.9642857142857142
strand,1.9642857142857142
ter,1.9642857142857142
tutorales,1.9642857142857142
wikinomie,1.9642857142857142
éco-ptz,1.9642857142857142
économiquemodifier,1.9642857142857142
édile,1.9642857142857142
émirien,1.9642857142857142
épargnent,1.9642857142857142
étudie,1.9642857142857142
co-valide,1.9583333333333333
covalidation,1.9583333333333333
euro-méditerranée,1.9583333333333333
fine-tuning,1.9583333333333333
finno-suédois,1.9583333333333333
modelé,1.9583333333333333
quasi-colonie,1.9583333333333333
sections,1.9583333333333333
wirtschaftlichen,1.9583333333333333
microcrédits,1.95
octies,1.9489795918367347
presté,1.9375
addax,1.9285714285714286
affranchissement,1.9285714285714286
anti-étalon-or,1.9285714285714286
chlorate,1.9285714285714286
co-édité,1.9285714285714286
cryptocurrency,1.9285714285714286
delocalisation,1.9285714285714286
débasée,1.9285714285714286
désépargner,1.9285714285714286
enseignante-chercheuse,1.9285714285714286
fintechs,1.9285714285714286
géo,1.9285714285714286
hukou,1.9285714285714286
hyper-spécifique,1.9285714285714286
hypervalorisation,1.9285714285714286
héliotropisme,1.9285714285714286
ibid,1.9285714285714286
importantions,1.9285714285714286
impostion,1.9285714285714286
intéressants,1.9285714285714286
isɛ̃doly,1.9285714285714286
