Word,Specificity Score
agen,2.0
agroforesti,2.0
appuis,2.0
atelier-débat,2.0
azur-cors,2.0
bas-carbon,2.0
britannico-irland,2.0
béhavior,2.0
c+v,2.0
catapult,2.0
chapter,2.0
conchyliculteur,2.0
covalid,2.0
deepening,2.0
déclassif,2.0
déconsomm,2.0
emblav,2.0
endogéneïs,2.0
eseo,2.0
ethan,2.0
etjusqu,2.0
euro-méditerran,2.0
françaisesaéroport,2.0
gpeasy,2.0
grippag,2.0
he,2.0
hommes\femm,2.0
hyper-spécif,2.0
hypervaloris,2.0
inventeur-fabric,2.0
job-center,2.0
lassoci,2.0
libéral-social,2.0
mai-novembr,2.0
micro-prêt,2.0
miméo,2.0
moyen-orient,2.0
moyennis,2.0
mécanique-matérial,2.0
non-act,2.0
non-collect,2.0
non-souhait,2.0
négocie-t-el,2.0
octi,2.0
patrons-salari,2.0
permet-el,2.0
première-cl,2.0
prived,2.0
quasi-colon,2.0
quasi-st,2.0
québecois,2.0
recherches-intervent,2.0
reic,2.0
ricum,2.0
réarm,2.0
s-villag,2.0
sargénol,2.0
savonni,2.0
shanghaien,2.0
supply-sid,2.0
teikeis,2.0
trans-plateform,2.0
transpartisan,2.0
troqueur,2.0
trésorier-payeur,2.0
université-entrepris,2.0
vocalis,2.0
web-design,2.0
wirtschaftlichen,2.0
xpath,2.0
zaibatsus,2.0
éco-ptz,2.0
élasticité-demand,2.0
épilogu,2.0
agroenvironnemental,1.9642857142857142
anti-étalon-or,1.9642857142857142
antiféodal,1.9642857142857142
arobas,1.9642857142857142
bas-rhinois,1.9642857142857142
bloqueur,1.9642857142857142
capverdien,1.9642857142857142
centrum,1.9642857142857142
chirographair,1.9642857142857142
chrétiennes-démocrat,1.9642857142857142
citroën,1.9642857142857142
climat-air-énerg,1.9642857142857142
co-ed,1.9642857142857142
coconstruir,1.9642857142857142
comminatoir,1.9642857142857142
contre-proposit,1.9642857142857142
corégent,1.9642857142857142
demi-pfennig,1.9642857142857142
dgfip,1.9642857142857142
discurs,1.9642857142857142
décrois,1.9642857142857142
enseignante-cherch,1.9642857142857142
entrepreneurialis,1.9642857142857142
finanziel,1.9642857142857142
hukou,1.9642857142857142
important,1.9642857142857142
indiect,1.9642857142857142
inintéress,1.9642857142857142
interannuel,1.9642857142857142
intra-muros,1.9642857142857142
isɛ̃doly,1.9642857142857142
kyat,1.9642857142857142
maroc,1.9642857142857142
micro-structur,1.9642857142857142
mohawk,1.9642857142857142
nori,1.9642857142857142
orctobre-décembr,1.9642857142857142
peaufin,1.9642857142857142
plurilatéral,1.9642857142857142
pon,1.9642857142857142
protomonnai,1.9642857142857142
préconcurrentiel,1.9642857142857142
présidente-directric,1.9642857142857142
rajust,1.9642857142857142
redécoll,1.9642857142857142
semi-nationalis,1.9642857142857142
shed,1.9642857142857142
smart-city,1.9642857142857142
strand,1.9642857142857142
stratospher,1.9642857142857142
séquano-dyonisien,1.9642857142857142
tapaninvainio,1.9642857142857142
tarifiair,1.9642857142857142
testimonial,1.9642857142857142
télé-déclar,1.9642857142857142
vivat,1.9642857142857142
vlog,1.9642857142857142
économiquemodifi,1.9642857142857142
écosociétal,1.9642857142857142
épargnent,1.9642857142857142
équant,1.9642857142857142
