Word,Specificity Score
above-listed,2.0
abraxane,2.0
afebrile,2.0
age-dependence,2.0
all-sexes,2.0
anaphylatoxins,2.0
animal-origin,2.0
anthrax-risk,2.0
anti-idiotype,2.0
anti-shiga,2.0
antigravity,2.0
aphemia,2.0
asymptomatic’,2.0
atica,2.0
autographed,2.0
beatification,2.0
bedded,2.0
berserk,2.0
bone-derived,2.0
borrowed,2.0
cancer-fight,2.0
centerpoint,2.0
cevin,2.0
cholesterylester,2.0
cis-acting,2.0
client-centered,2.0
client-patients,2.0
clonotypic,2.0
closely-spaced,2.0
co-operatively,2.0
coincidently,2.0
cold-hemagglutinins,2.0
commercialise,2.0
conjugal,2.0
continuative,2.0
counter-measures,2.0
cover-blurbed,2.0
cradle-to-grave,2.0
crappy,2.0
crucially,2.0
cryonics,2.0
cuspidata,2.0
dbgap,2.0
dehydroxylation,2.0
deploid,2.0
deﬁned,2.0
discípulo,2.0
disease-ridden,2.0
doctory,2.0
débâcle,2.0
ebolaviruses,2.0
ellagic,2.0
embolise,2.0
enyzmes,2.0
equalling,2.0
esterifed,2.0
experimental-vaccine-for-chikungunya-passes-first-test,2.0
face-off,2.0
fatback,2.0
fed-batch,2.0
fenton,2.0
five-cd,2.0
five-episode,2.0
flu-type,2.0
fluoroquinolines,2.0
footfall,2.0
forward-thinking,2.0
fourpiece,2.0
fowlpox-based,2.0
fragmentarily,2.0
fraulein,2.0
fucosyltransferase,2.0
fund-rising,2.0
genetically-engineered,2.0
grandnephew,2.0
growth-antagonistic,2.0
gymnastic,2.0
half-siblings,2.0
heretics’,2.0
hernial,2.0
heterocomplex,2.0
historicals,2.0
histotype,2.0
homocysteinuria,2.0
hormone-receptor-positive,2.0
immanent,2.0
immortalise,2.0
immunocomprised,2.0
impassioned,2.0
impeccably,2.0
improved,2.0
infographic,2.0
inter-convertible,2.0
july,2.0
juxtaglomerular,2.0
kindergartener,2.0
lad,2.0
law-related,2.0
length-of-stay,2.0
leptospira,2.0
less-effective,2.0
less-than-optimal,2.0
letter-writing,2.0
matriculants,2.0
mecoprop,2.0
meddyg,2.0
mega-dose,2.0
menin,2.0
ment,2.0
metapsychology,2.0
metastesize,2.0
micromol,2.0
mind-swap,2.0
mind-trip,2.0
mini-cobra,2.0
mini-games,2.0
mini-missions,2.0
molecule-targeted,2.0
more-so,2.0
near-coastal,2.0
near-five,2.0
necronym,2.0
neuf,2.0
neurofibromatoses,2.0
non-colorectal,2.0
non-disease-causing,2.0
non-hiv,2.0
non-identifiable,2.0
non-ihs,2.0
non-imported,2.0
non-latent,2.0
non-penicillin,2.0
non-public,2.0
non-television,2.0
nonepithelial,2.0
nonfluorinated,2.0
notesedit,2.0
obediently,2.0
obelisk,2.0
olestra-eating,2.0
one-of-three,2.0
ontemporary,2.0
opt-outs,2.0
outfielder,2.0
overexpansion,2.0
overextend,2.0
pantegni,2.0
parry,2.0
pathovars,2.0
pediatric-type,2.0
peer-run,2.0
perversely,2.0
pneumovirus,2.0
podcasting,2.0
polemics,2.0
pollen-food,2.0
polycondensates,2.0
polytrauma,2.0
polyvitaminic,2.0
postbellum,2.0
pre-malignancy,2.0
pre-war,2.0
prepay,2.0
preselected,2.0
preset,2.0
previously-infected,2.0
pro-immunization,2.0
proctocolectomy,2.0
pseudo-exfoliation,2.0
radiotheraphy,2.0
raltitrexed,2.0
rancho,2.0
