Word,Specificity Score
agav,2.0
agro-industr,2.0
anglo-gascon,2.0
assnat,2.0
autodisciplin,2.0
babysitting,2.0
bastill,2.0
belgo-britann,2.0
bergeron,2.0
botswanéen,2.0
caféicultur,2.0
carticulair,2.0
chambérien,2.0
chaponni,2.0
chérot,2.0
ciconscript,2.0
conseiller-maîtr,2.0
demi-canton,2.0
dopomóż,2.0
dérap,2.0
earnout,2.0
enfant-loup,2.0
ensembliers-décor,2.0
expel,2.0
figlio,2.0
fréon,2.0
géohistorien,2.0
habitation-jardin,2.0
in-app,2.0
indre-et-loir,2.0
land-gr,2.0
loi-programm,2.0
ludo-éduc,2.0
mairie-caveirac,2.0
maquilador,2.0
marocanis,2.0
métallo,2.0
neufchâtelois,2.0
non-imposit,2.0
octobre-décembr,2.0
particp,2.0
possédent,2.0
prevus,2.0
propriétaire-occup,2.0
publicit,2.0
pégot,2.0
périmer,2.0
référérent,2.0
répertoriag,2.0
rééligibil,2.0
sanskrit-english,2.0
seizur,2.0
serrurier-mécanicien,2.0
several,2.0
shoin-zukur,2.0
steam,2.0
stok,2.0
subrogatair,2.0
sujets-contribu,2.0
superbo,2.0
surtravail,2.0
timelin,2.0
trianon,2.0
tsubo,2.0
télé-transmis,2.0
unionis,2.0
vannetaisess,2.0
vavassor,2.0
vidéodisqu,2.0
vyssoko,2.0
wishbon,2.0
été-décor,2.0
île-de-fr,2.0
☆par,2.0
吹上大宮御所,2.0
後花園天皇,2.0
aedificand,1.9642857142857142
ajab,1.9642857142857142
arpet,1.9642857142857142
assag,1.9642857142857142
assureurs-v,1.9642857142857142
auto-détruir,1.9642857142857142
autoberg,1.9642857142857142
basco-landais,1.9642857142857142
bidonvillis,1.9642857142857142
cinquante-et-uniem,1.9642857142857142
cochet,1.9642857142857142
commandatair,1.9642857142857142
conflagr,1.9642857142857142
confucien,1.9642857142857142
consejal,1.9642857142857142
dellois,1.9642857142857142
domat,1.9642857142857142
déminag,1.9642857142857142
edx,1.9642857142857142
entre-coup,1.9642857142857142
errabund,1.9642857142857142
estaing,1.9642857142857142
eurois,1.9642857142857142
fonsi,1.9642857142857142
gardes-roug,1.9642857142857142
gouvernementd,1.9642857142857142
graphi,1.9642857142857142
hand-ball,1.9642857142857142
ichirō,1.9642857142857142
iheartmedi,1.9642857142857142
interterritorial,1.9642857142857142
isɛ̃doly,1.9642857142857142
johnny,1.9642857142857142
keynesien,1.9642857142857142
laîcis,1.9642857142857142
libéral-social,1.9642857142857142
lucet,1.9642857142857142
lunetter,1.9642857142857142
mairie-foyer-écol,1.9642857142857142
matriarcal,1.9642857142857142
maître-échevin,1.9642857142857142
mde,1.9642857142857142
menin,1.9642857142857142
