Word,Specificity Score
aligne,2.0
anlaise,2.0
brésilio-italien,2.0
béninoise,2.0
captivant,2.0
cmgrand,2.0
edivision,2.0
franco-arménien,2.0
germano-portugais,2.0
handi-sports,2.0
harte,2.0
impopsant,2.0
jacque,2.0
jöring,2.0
mondewrc,2.0
non-scandinave,2.0
nonagénaire,2.0
principalement,2.0
sharpie,2.0
smart,2.0
triomphateur,2.0
tudo,2.0
vénézuélio-espagnol,2.0
zip,2.0
établirent,2.0
エンセン井上,2.0
少林流,2.0
atletismo,1.9642857142857142
brabaçon,1.9642857142857142
chalon,1.9642857142857142
champional,1.9642857142857142
codiffusion,1.9642857142857142
euro-indoor,1.9642857142857142
grisé,1.9642857142857142
hawksangersroller,1.9642857142857142
inter-styles,1.9642857142857142
meme,1.9642857142857142
minibike,1.9642857142857142
ouzbèke,1.9642857142857142
pangainoon,1.9642857142857142
polymultiplié,1.9642857142857142
pré-arrangés,1.9642857142857142
reconfigurer,1.9642857142857142
roubaisien,1.9642857142857142
sport-olympic,1.9642857142857142
squaw,1.9642857142857142
sudiste,1.9642857142857142
sykling,1.9642857142857142
séniore,1.9642857142857142
tchadien,1.9642857142857142
zàn,1.9642857142857142
国際武道院・国際武道連盟,1.9642857142857142
技あり,1.9642857142857142
이보람,1.9642857142857142
barquier,1.9583333333333333
devence,1.9583333333333333
door,1.9583333333333333
flandriennes,1.9583333333333333
osrtant,1.9583333333333333
venezuélienne,1.9583333333333333
初見良昭,1.9583333333333333
suisso-croate,1.95
éauipe,1.95
eliminator,1.9404761904761905
franco-serbe,1.9375
vendémianaise,1.9375
国民体育大会,1.9375
annécien,1.9285714285714286
calgary,1.9285714285714286
cmet,1.9285714285714286
curleurs,1.9285714285714286
cèdera,1.9285714285714286
détourné,1.9285714285714286
ex-joueur,1.9285714285714286
footytips,1.9285714285714286
franco-amazonien,1.9285714285714286
gail,1.9285714285714286
jacobus,1.9285714285714286
lres,1.9285714285714286
multichampions,1.9285714285714286
partiquant,1.9285714285714286
point-to-point,1.9285714285714286
porto-ricaines,1.9285714285714286
pré-national,1.9285714285714286
rattrappent,1.9285714285714286
results-book,1.9285714285714286
ré-édite,1.9285714285714286
shakuhachi,1.9285714285714286
sit-in,1.9285714285714286
stipe,1.9285714285714286
viennent-ensuite,1.9285714285714286
wvcycling,1.9285714285714286
échage,1.9285714285714286
équipesainsi,1.9285714285714286
国际武术联合会,1.9285714285714286
文部科学省,1.9285714285714286
照ノ富士,1.9285714285714286
藤田和之,1.9285714285714286
grenadien,1.925
non-qualifié,1.925
ousbek,1.921875
demi-final,1.9166666666666667
germano-polonais,1.9166666666666667
masseur,1.9166666666666667
réatribué,1.9166666666666667
britanno-américain,1.8977272727272727
ffc,1.8958333333333333
argoulet,1.8928571428571428
aumôniers-directeurs,1.8928571428571428
belles-lettres,1.8928571428571428
co-détenteur,1.8928571428571428
co-fondé,1.8928571428571428
contre-la-montres,1.8928571428571428
corp,1.8928571428571428
cpu,1.8928571428571428
cyclo-marcheurs,1.8928571428571428
défenseures,1.8928571428571428
en+fr+sh,1.8928571428571428
eng,1.8928571428571428
ex-international,1.8928571428571428
franco-russes,1.8928571428571428
germano-tunisien,1.8928571428571428
hochey,1.8928571428571428
innings,1.8928571428571428
inter-état,1.8928571428571428
intègreront,1.8928571428571428
jambe-raquette,1.8928571428571428
malvoyante,1.8928571428571428
non-alpines,1.8928571428571428
non-consanguin,1.8928571428571428
poids-léger,1.8928571428571428
portugo-bissau-guinéen,1.8928571428571428
pro-tour,1.8928571428571428
pré-débourrage,1.8928571428571428
psaworld,1.8928571428571428
quasi-inexistant,1.8928571428571428
quevillaise,1.8928571428571428
re-composée,1.8928571428571428
rentransmettre,1.8928571428571428
résolu,1.8928571428571428
révélé,1.8928571428571428
saint-louis,1.8928571428571428
seidokaikan,1.8928571428571428
senbon-giri,1.8928571428571428
séparés,1.8928571428571428
tory,1.8928571428571428
vert-blanc-rouge,1.8928571428571428
waterjump,1.8928571428571428
yade,1.8928571428571428
ケンドー・カシン,1.8928571428571428
大塚博紀,1.8928571428571428
日本相撲協会,1.8928571428571428
東恩納,1.8928571428571428
松田隆智,1.8928571428571428
argentino-espagnol,1.875
complexity,1.875
etjean-rené,1.875
florensacoise,1.875
franco-ghanéen,1.875
inter-quartier,1.875
israélo-libanaise,1.875
javelina,1.875
kin-ball,1.875
leiu,1.875
mozambicaine,1.875
panasiatique,1.875
rhônalpin,1.875
streetwear,1.875
верховая,1.875
序二段,1.875
alain,1.8571428571428572
algérois,1.8571428571428572
allianceanticorrida,1.8571428571428572
américano-mexicain,1.8571428571428572
après-beugnot,1.8571428571428572
autoréguler,1.8571428571428572
beau-fils,1.8571428571428572
belgo-hollandaise,1.8571428571428572
brand,1.8571428571428572
bédé,1.8571428571428572
canalsat,1.8571428571428572
chasseurs-bombardiers,1.8571428571428572
chez,1.8571428571428572
com-ais,1.8571428571428572
demi-manche,1.8571428571428572
divsion,1.8571428571428572
domminent,1.8571428571428572
double-scull,1.8571428571428572
ex-allemande,1.8571428571428572
extra-sportive,1.8571428571428572
flamboyer,1.8571428571428572
gravat,1.8571428571428572
inter-villes,1.8571428571428572
interallié,1.8571428571428572
ishizashi,1.8571428571428572
ivorien,1.8571428571428572
kazakhstanaise,1.8571428571428572
liesse,1.8571428571428572
ligure,1.8571428571428572
moto-raid,1.8571428571428572
mutilé,1.8571428571428572
médaillable,1.8571428571428572
nanshaolin,1.8571428571428572
nigérien,1.8571428571428572
niiveau,1.8571428571428572
non-soviétique,1.8571428571428572
participaints,1.8571428571428572
performance-mondiale,1.8571428571428572
plum,1.8571428571428572
poneys-clubs,1.8571428571428572
postscolaire,1.8571428571428572
printanier,1.8571428571428572
prolongement,1.8571428571428572
quarante-deuxième,1.8571428571428572
quebecoise,1.8571428571428572
rempoter,1.8571428571428572
retraitre,1.8571428571428572
rhinois,1.8571428571428572
rétabli,1.8571428571428572
seize,1.8571428571428572
semi-finalistes,1.8571428571428572
singapourien,1.8571428571428572
tekken,1.8571428571428572
tinne,1.8571428571428572
tourne,1.8571428571428572
trente-huitième,1.8571428571428572
ヨネックス株式会社,1.8571428571428572
中条流,1.8571428571428572
国立国語研究所,1.8571428571428572
桜庭和志,1.8571428571428572
玄武館,1.8571428571428572
精武会体育,1.8571428571428572
aurillacois,1.8541666666666667
offline,1.8541666666666667
dmoz,1.85
pixel,1.85
templier,1.85
¹meilleur,1.8472222222222223
voiliers-du-net,1.84375
al-hamad,1.8333333333333333
aperçoit,1.8333333333333333
burkinabés,1.8333333333333333
camer,1.8333333333333333
co-délivré,1.8333333333333333
cônes-cibles,1.8333333333333333
dartmoor,1.8333333333333333
défenseuses,1.8333333333333333
ettom,1.8333333333333333
ex-al,1.8333333333333333
ex-section,1.8333333333333333
figuriste,1.8333333333333333
handi-valid,1.8333333333333333
naikaken,1.8333333333333333
or-argent,1.8333333333333333
pay-per-views,1.8333333333333333
pré-sélectionnées,1.8333333333333333
rot,1.8333333333333333
shadow-boxing,1.8333333333333333
steeple-chasse,1.8333333333333333
tossing,1.8333333333333333
現代武道,1.8333333333333333
abortion,1.825
weekends,1.8221153846153846
américano-canadiennes,1.8214285714285714
anglo-italo-sud-africain,1.8214285714285714
artificialiser,1.8214285714285714
auto-édite,1.8214285714285714
auvergne,1.8214285714285714
berjaliennes,1.8214285714285714
cacher-dégainer,1.8214285714285714
chamoionnats,1.8214285714285714
cheap,1.8214285714285714
cholon,1.8214285714285714
cliquable,1.8214285714285714
commettant,1.8214285714285714
cross-countrychampion,1.8214285714285714
cyclingnews,1.8214285714285714
dano-norvégienne,1.8214285714285714
développante,1.8214285714285714
finisant,1.8214285714285714
folklorisation,1.8214285714285714
fondement,1.8214285714285714
footvolley,1.8214285714285714
franco-guinéen,1.8214285714285714
grenadin,1.8214285714285714
grisant,1.8214285714285714
hypoténuse,1.8214285714285714
iaaf,1.8214285714285714
inter-région,1.8214285714285714
interconnexion,1.8214285714285714
jaco,1.8214285714285714
laeuroligue,1.8214285714285714
médecins-conseils,1.8214285714285714
north-star,1.8214285714285714
néo-professionnel,1.8214285714285714
pan-américains,1.8214285714285714
plays-off,1.8214285714285714
pré-saisons,1.8214285714285714
péricliter,1.8214285714285714
quarante-cinquième,1.8214285714285714
quia,1.8214285714285714
revenue,1.8214285714285714
robinson,1.8214285714285714
roumaine,1.8214285714285714
sambodrome,1.8214285714285714
sandboard,1.8214285714285714
serbo-français,1.8214285714285714
spider,1.8214285714285714
sud-soudanais,1.8214285714285714
synshronisée,1.8214285714285714
séquestré,1.8214285714285714
temrine,1.8214285714285714
terminne,1.8214285714285714
triathlé,1.8214285714285714
uncfs,1.8214285714285714
wrestler,1.8214285714285714
épaule-épaule,1.8214285714285714
최무배,1.8214285714285714
initiateurs,1.8203125
boxrec,1.8125
demi-tendres,1.8125
ex-ead,1.8125
rép,1.8125
élançait,1.8125
anglo-australien,1.8011363636363635
centurie,1.8
reseau,1.8
showbol,1.79375
allégorique,1.7916666666666667
cookiennes,1.7916666666666667
kinball,1.7916666666666667
macaroni,1.7916666666666667
mannoise,1.7916666666666667
snowrando,1.7916666666666667
super-solo,1.7916666666666667
zoomorphiques,1.7916666666666667
kiki,1.7901785714285714
non-qualifiée,1.7884615384615385
afcca,1.7857142857142858
affilé,1.7857142857142858
américain-canadien,1.7857142857142858
aàl,1.7857142857142858
basckspin,1.7857142857142858
bissau-guinéen,1.7857142857142858
brigde,1.7857142857142858
bénino-ivoirien,1.7857142857142858
chypre,1.7857142857142858
complewxe,1.7857142857142858
comptriote,1.7857142857142858
condenser,1.7857142857142858
cource,1.7857142857142858
crease,1.7857142857142858
cyclocross,1.7857142857142858
descente-slalom,1.7857142857142858
devannt,1.7857142857142858
enherber,1.7857142857142858
entraîneurs-femmes,1.7857142857142858
equestres,1.7857142857142858
escaler,1.7857142857142858
ex-spyker,1.7857142857142858
femmes-soldats,1.7857142857142858
flanquer,1.7857142857142858
fondamentalisme,1.7857142857142858
freestylers,1.7857142857142858
glâne,1.7857142857142858
gémellité,1.7857142857142858
génréral,1.7857142857142858
heptathlonienne,1.7857142857142858
holeshot,1.7857142857142858
hydrologie,1.7857142857142858
idiotisme,1.7857142857142858
ira,1.7857142857142858
journées-skieur,1.7857142857142858
mauricienne,1.7857142857142858
mesa,1.7857142857142858
meurtrière,1.7857142857142858
mini-vert,1.7857142857142858
miniformule,1.7857142857142858
minutes,1.7857142857142858
moto-concept,1.7857142857142858
multi-segments,1.7857142857142858
non-finlandais,1.7857142857142858
non-normalisé,1.7857142857142858
néerlando-marocain,1.7857142857142858
oibnazarov,1.7857142857142858
opposerai,1.7857142857142858
oranais,1.7857142857142858
ots,1.7857142857142858
overdose,1.7857142857142858
pod,1.7857142857142858
préquelle,1.7857142857142858
quaitrième,1.7857142857142858
quarts-temps,1.7857142857142858
registry,1.7857142857142858
réallouer,1.7857142857142858
s-groene,1.7857142857142858
seido,1.7857142857142858
selectionneur,1.7857142857142858
soːke,1.7857142857142858
swin,1.7857142857142858
thaï-boxing,1.7857142857142858
triple-double,1.7857142857142858
turbidité,1.7857142857142858
umamano,1.7857142857142858
vade-mecum,1.7857142857142858
vulgate,1.7857142857142858
vétérante,1.7857142857142858
wendo,1.7857142857142858
スノボキッズ,1.7857142857142858
国家体育委员会,1.7857142857142858
大学評価・学位授与機構,1.7857142857142858
心形刀流,1.7857142857142858
毘嵐会,1.7857142857142858
wu-shu,1.78125
américaine,1.7743055555555556
anis,1.7723214285714286
developpe,1.7708333333333333
dîplomés,1.7708333333333333
imbrique,1.7708333333333333
ind,1.7708333333333333
profile,1.7708333333333333
proto-histoire,1.7708333333333333
pétant,1.7708333333333333
radioromans,1.7708333333333333
recharge,1.7708333333333333
sen-no-sen,1.7708333333333333
reconfiguré,1.7633928571428572
non-américain,1.7589285714285714
disputant,1.7583333333333333
co-recordman,1.755952380952381
pékin,1.7527777777777778
a-side,1.75
adonne,1.75
amiénoise,1.75
amtaj,1.75
américano-bosniaque,1.75
américano-jamaïcain,1.75
anglais-français,1.75
anthropologismes,1.75
anti-horaire,1.75
antisportivités,1.75
arrastão,1.75
arrêt-courts,1.75
askary,1.75
athlètes-étudiants,1.75
auatre,1.75
australiasien,1.75
bi-palmes,1.75
bohémien,1.75
breakdown,1.75
centre-tir,1.75
cinquante-quatrième,1.75
coaché,1.75
compartimentées,1.75
constructeur-préparateur,1.75
crémone,1.75
cyclingarchives,1.75
demi-terrains,1.75
dermatologue,1.75
