Word,Specificity Score
également,1.0
syntagmes,1.0
normale,1.0
désarmement,1.0
équivaut,1.0
licenciement,1.0
éventuels,1.0
pistes,1.0
objectifs,1.0
influe,1.0
apprend,1.0
abritait,1.0
utilitaires,1.0
atteignit,1.0
engageant,1.0
principes,1.0
éclate,1.0
titres,1.0
émeraudes,1.0
émet,1.0
îlots,1.0
d,1.0
chacune,1.0
up,1.0
accusent,1.0
adopte,1.0
extensions,1.0
cotés,1.0
hivernale,1.0
exerçaient,1.0
écrivit,1.0
affirment,1.0
étroite,1.0
inspecteurs,1.0
retentissement,1.0
alliée,1.0
augmenta,1.0
désendettement,1.0
discussions,1.0
épaisse,1.0
épousera,1.0
animations,1.0
exécutions,1.0
accusés,1.0
contraignante,1.0
représentés,1.0
occupations,1.0
courante,1.0
expliquent,1.0
financée,1.0
appartenaient,1.0
interdisent,1.0
selon,1.0
libéraux,1.0
inventée,1.0
inspirera,1.0
élit,1.0
expériences,1.0
receveurs,1.0
assurés,1.0
tiens,1.0
i,1.0
chefferies,1.0
attribuant,1.0
dérivée,1.0
entraînerait,1.0
élue,1.0
attaqua,1.0
évite,1.0
agriculteurs,1.0
améliorations,1.0
oscillant,1.0
arrêtés,1.0
efficaces,1.0
utilisait,1.0
broché,1.0
fonctionnaires,1.0
incitent,1.0
grise,1.0
senti,1.0
allemande,1.0
aéroports,1.0
carrée,1.0
plonge,1.0
chacun,1.0
émane,1.0
inscrits,1.0
ethnies,1.0
accusations,1.0
envois,1.0
organisa,1.0
impératifs,1.0
atteignirent,1.0
effectuant,1.0
endettement,1.0
guerres,1.0
européenne,1.0
envisage,1.0
nantis,1.0
aéronefs,1.0
hérita,1.0
durcissement,1.0
pentes,1.0
outre-mer,1.0
crises,1.0
expressions,1.0
répertoires,1.0
impressionnante,1.0
gouverné,1.0
exerçait,1.0
entreprennent,1.0
ordonnent,1.0
norvégienne,1.0
coupée,1.0
logiciels,1.0
avoirs,1.0
interviennent,1.0
dispensé,1.0
vitesses,1.0
huissiers,1.0
présumés,1.0
parfois,1.0
inventé,1.0
gouvernante,1.0
manuelle,1.0
considérables,1.0
entretiens,1.0
dénué,1.0
attirent,1.0
exécuté,1.0
sentant,1.0
génératrice,1.0
sols,1.0
annexé,1.0
privés,1.0
appartenait,1.0
brisée,1.0
parmi,1.0
ondes,1.0
rites,1.0
étrangères,1.0
vies,1.0
provinces,1.0
partout,1.0
exploitent,1.0
lourdes,1.0
âmes,1.0
explications,0.9777777777777777
abroge,0.9777777777777777
éditions,0.9777777777777777
éteinte,0.9777777777777777
estimées,0.9777777777777777
habillé,0.9777777777777777
artistiques,0.9722222222222222
organes,0.9722222222222222
albums,0.9722222222222222
échoue,0.9722222222222222
stimule,0.9722222222222222
initialement,0.9722222222222222
grands,0.9722222222222222
engouement,0.9696969696969697
urbains,0.9696969696969697
causant,0.9642857142857143
dents,0.9642857142857143
respectivement,0.9642857142857143
existaient,0.9642857142857143
ininterrompue,0.9642857142857143
administre,0.9642857142857143
miniers,0.9642857142857143
connaissant,0.9642857142857143
comptes,0.9642857142857143
stipulé,0.9642857142857143
animatrice,0.9642857142857143
paris,0.9642857142857143
exigent,0.9642857142857143
cloisonnement,0.9642857142857143
amendements,0.9642857142857143
accuse,0.9642857142857143
humaine,0.9642857142857143
rémunérations,0.9642857142857143
prussienne,0.9615384615384616
évalue,0.9555555555555556
rehaussement,0.9555555555555556
excellente,0.9555555555555556
éléphants,0.9555555555555556
obtiennent,0.9555555555555556
s,0.9545454545454546
quarante,0.9523809523809523
pages,0.9523809523809523
domicilié,0.9523809523809523
interprétations,0.9523809523809523
assurant,0.9523809523809523
murs,0.9523809523809523
intégra,0.9523809523809523
foncière,0.9523809523809523
peuplé,0.9523809523809523
intermédiaires,0.9523809523809523
filiales,0.9523809523809523
ravagé,0.9523809523809523
entrent,0.9523809523809523
épaules,0.9523809523809523
augmente,0.9523809523809523
assume,0.9523809523809523
